sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
"Law, Business, and Consulting Services",90,4546,0.019798000000000003,1003.00026,1391.6054696440697,0.7207520000000001,"[397165, 47596, 209242, 200081, 61178, 15967]"
Internet Service Provider (ISP),672,4546,0.147829,202.21755599999997,1391.6054696440697,0.14531600000000003,"[396356, 44812, 210107, 396319, 20473, 30633, 200373, 62240, 51659, 207990, 7018, 198571, 208626, 52041, 199669, 206873, 3175, 49392, 212521, 56534, 50902, 1239, 22773, 213220, 50113, 266732, 36992, 15317, 49981, 396113, 396362, 150445, 196968, 41108, 43317, 25145, 47447, 8772, 6939, 45609, 174, 36791, 33480, 202528, 38732, 58057, 28573, 9009, 15133, 40509, 51847, 136620, 16724, 32931, 212238, 203314, 263110, 20253, 20446, 41378, 46562, 56758, 197433, 9902, 14153, 59711, 53356, 62874, 133612, 140810, 394923, 209181, 211759, 30081, 43357, 55081, 51430, 63213, 133480, 47720, 139693, 200393, 201029, 400797, 7713, 6762, 4788, 4761, 4657, 58453]"
None,377,4546,0.082934,116.21134800000003,1391.6054696440697,0.083513,"[204916, 198231, 210695, 61317, 60781, 62217, 29182, 48108, 209641, 212477, 202888, 42692, 210852, 131910, 135605, 271991, 28753, 141444, 209146, 196733, 202235, 147057, 199614, 210842, 151814, 399558, 199186, 197730, 200021, 141173, 202911, 151407, 201217, 216107, 206981, 398668, 209642, 60539, 50069, 1921, 949, 207021, 205544, 208685, 37963, 48254, 38008, 197606, 33760, 201178, 40138, 201572, 197919, 216452, 216435, 215907, 211051, 399358, 54197, 61323, 135489, 137502, 138190, 141039, 140731, 151464, 32150, 206998, 202662, 58339]"
Software Development,445,4546,0.09788799999999998,26.636047,1391.6054696440697,0.019139999999999997,"[59504, 49581, 51837, 210499, 54113, 60703, 150347, 36492, 200866, 199974, 47583, 198412, 25923, 210937]"
"Investment, Portfolio Management, Pensions and Funds",16,4546,0.00352,15.000015,1391.6054696440697,0.010779,"[209968, 51126, 201836]"
Hosting and Cloud Provider,1506,4546,0.33128099999999994,13.282103999999999,1391.6054696440697,0.009545,"[49542, 204490, 58061, 43260, 53667, 16509, 13335, 50867, 40676, 13213, 23467, 206368]"
Other,70,4546,0.015399,4.177474000000001,1391.6054696440697,0.0030009999999999998,"[56849, 211027, 133375, 199925, 400519, 46997, 205987, 60310, 205212, 205157, 201633, 207487, 30811, 205989]"
"Metal, Glass, Wood, and Paper Manufacturing",3,4546,0.00066,3.0,1391.6054696440697,0.002156,[44477]
"Banks, Credit Card Companies, Mortgage Providers",3,4546,0.00066,3.0,1391.6054696440697,0.002156,[60389]
"Colleges, Universities, and Professional Schools",2,4546,0.00044,2.0,1391.6054696440697,0.001438,"[4538, 46019]"
Buildings (Residential or Commercial),15,4546,0.0033,1.006851,1391.6054696440697,0.000724,"[52042, 151338]"
Electronics and Computer Components,2,4546,0.00044,1.000015,1391.6054696440697,0.000719,"[51259, 23145]"
Elementary and Secondary Schools,1,4546,0.00022,1.0,1391.6054696440697,0.000719,[56434]
Online Music and Video Streaming Services,12,4546,0.00264,0.039093,1391.6054696440697,2.8e-05,[33905]
Computer and Network Security,1309,4546,0.287946,0.019927999999999998,1391.6054696440697,1.4e-05,"[36183, 19551, 16625]"
Online Informational Content,5,4546,0.0011,0.007859,1391.6054696440697,6e-06,"[61112, 199465, 206843]"
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13,4546,0.00286,0.006836,1391.6054696440697,5e-06,[270410]
Real Estate (Residential and/or Commercial),3,4546,0.00066,4.6e-05,1391.6054696440697,0.0,[39900]
Insurance Carriers and Agencies,1,4546,0.00022,1.5e-05,1391.6054696440697,0.0,[207713]
Chemical and Pharmaceutical Manufacturing,1,4546,0.00022,1.5e-05,1391.6054696440697,0.0,[203635]
