category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",124.0,45393.0,0.0027316987200669707,0.0,93.75951546024604,0.0
Community Groups and Nonprofits,16.0,49928.0,0.0003204614645088928,0.00061,1486.3686929900582,4.103961573443071e-07
Computer and Information Technology,28146.0,49928.0,0.563731773754206,313.920055,1486.3686929900582,0.211199318500514
Construction and Real Estate,37.0,49928.0,0.0007410671366768146,3.104553,1486.3686929900582,0.002088682986019247
Education and Research,62.0,49928.0,0.0012417881749719596,38.014922,1486.3686929900582,0.02557570149269436
Finance and Insurance,21.0,49928.0,0.0004206056721679218,18.000030000000002,1486.3686929900582,0.012110070728003687
"Freight, Shipment, and Postal Services",18.0,49928.0,0.0003605191475725044,2.000046,1486.3686929900582,0.0013455921195276264
Government and Public Administration,44.0,45393.0,0.0009693124490560218,3.1e-05,93.75951546024604,3.306331079872525e-07
Health Care Services,14.0,49928.0,0.0002804037814452812,0.004516999999999999,1486.3686929900582,3.038949906105303e-06
Manufacturing,7.0,49928.0,0.0001402018907226406,4.000030000000001,1486.3686929900582,0.0026911425266589327
"Media, Publishing, and Broadcasting",12762.0,49928.0,0.25560807562890564,2.176461,1486.3686929900582,0.0014642807065733574
"Museums, Libraries, and Entertainment",6.0,45393.0,0.00013217897032582115,0.0,93.75951546024604,0.0
None,490.0,49928.0,0.009814132350584842,100.13802200000003,1486.3686929900582,0.06737091710304868
Other,40.0,49928.0,0.000801153661272232,1.000596,1486.3686929900582,0.0006731815630394825
"Retail Stores, Wholesale, and E-commerce Sites",7962.0,49928.0,0.15946963627623778,0.003969,1486.3686929900582,2.6702661450812376e-06
Service,178.0,49928.0,0.0035651337926614324,1003.004837,1486.3686929900582,0.674802181807464
Travel and Accommodation,1.0,4535.0,0.0002205071664829107,1.0,1392.609177529812,0.0007180765545246399
