category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Service,134,4524,0.02962,1004.0048059999999,1390.546112895012,0.722022,"[397165, 47596, 209242, 200081, 61178, 400519, 15967, 138190, 201633, 205989]"
Computer and Information Technology,3992,4524,0.8823950000000003,266.231962,1390.546112895012,0.191448,"[396356, 44812, 210107, 396319, 20473, 30633, 62240, 200373, 59504, 49581, 51837, 51659, 49542, 61317, 60781, 62217, 204490, 207990, 52041, 208626, 199669, 29182, 7018, 206873, 212477, 3175, 48108, 49392, 56534, 212521, 210499, 58061, 198571, 50902, 1239, 22773, 54113, 213220, 50113, 266732, 49981, 209146, 196968, 202235, 135605, 150347, 150445, 196733, 60703, 28753, 15317, 30721, 396113, 41108, 25145, 396362, 36992, 43317, 43260, 47447, 53667, 8772, 6939, 45609, 16509, 36183, 174, 13335, 53356, 202528, 28573, 33480, 38732, 36791, 58057, 36492, 9009, 19551, 15133, 50867, 40509, 200866, 51847, 199974, 136620, 16724, 47583, 32931, 203314, 263110, 20253, 20446, 41378, 1921, 212238, 46562, 60539, 40676, 949, 56758, 207021, 14153, 9902, 197433, 205544, 208685, 13213, 140810, 37963, 62874, 133612, 48254, 59711, 198412, 201178, 394923, 210937, 211759, 209181, 61323, 137502, 25923, 30081, 30811, 47720, 51430, 55081, 63213, 133480, 400797, 206368, 139693, 201029, 200393, 141039, 16625, 7713, 6762, 4788, 4761, 4657, 58453]"
None,274,4524,0.06056299999999999,85.00860300000002,1390.546112895012,0.061133,"[204916, 198231, 210695, 202888, 42692, 210852, 199614, 131910, 147057, 271991, 210842, 151814, 197730, 199186, 200021, 202911, 151407, 216157, 201217, 33760, 197606, 197919, 216452, 399358, 216435, 211051, 54197, 202662, 151464]"
Finance and Insurance,20,4524,0.004421,18.000030000000002,1390.546112895012,0.012943999999999999,"[209968, 60389, 51126, 207713, 201836]"
Education and Research,23,4524,0.005083999999999999,6.014907,1390.546112895012,0.004325,"[209641, 56434, 46019, 4538, 270410, 60310, 141173, 206981, 140731]"
Manufacturing,6,4524,0.0013260000000000001,4.000030000000001,1390.546112895012,0.002876,"[44477, 51259, 23145, 203635]"
"Media, Publishing, and Broadcasting",20,4524,0.00442,2.172165,1390.546112895012,0.001562,"[211027, 33905, 61112, 199465, 398668, 206843]"
"Freight, Shipment, and Postal Services",5,4524,0.001105,2.000046,1390.546112895012,0.001438,"[56849, 205157]"
Construction and Real Estate,28,4524,0.006189,1.104553,1390.546112895012,0.000794,"[52042, 399558, 199925, 151338, 39900]"
Other,11,4524,0.002431,1.0001539999999998,1390.546112895012,0.000719,"[141444, 50069, 40138, 38008]"
Travel and Accommodation,1,4524,0.000221,1.0,1390.546112895012,0.000719,[133375]
Health Care Services,3,4524,0.000663,0.004395,1390.546112895012,3e-06,[46997]
"Retail Stores, Wholesale, and E-commerce Sites",5,4524,0.001105,0.003967000000000001,1390.546112895012,3e-06,"[205987, 201572, 58339, 207487]"
Community Groups and Nonprofits,2,4524,0.000442,0.000488,1390.546112895012,0.0,[205212]
