org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
EpicUp Holdings Inc,62,4536,0.013668,992.0,1393.5501412153244,0.711851,[397165],['US'],['Service'],"['Law, Business, and Consulting Services']"
"RACKTECH CO., LTD.",95,4536,0.020944,60.3125,1393.5501412153244,0.04328,[204916],['TH'],['None'],['None']
Latitude.sh,2,4536,0.000441,32.0,1393.5501412153244,0.022963,[396356],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
IP SERVER LLC,30,4536,0.006614,30.0,1393.5501412153244,0.021528,[44812],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,21,4536,0.00463,21.0,1393.5501412153244,0.015069,[210107],['TR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Kew Solutions Unipessoal Lda,18,4536,0.003968,18.0,1393.5501412153244,0.012917000000000001,"[209968, 51126, 56849, 52042]",['PT'],"['Finance and Insurance' 'Freight, Shipment, and Postal Services'
 'Construction and Real Estate']","['Investment, Portfolio Management, Pensions and Funds' 'Other'
 'Buildings (Residential or Commercial)']"
Oxylabs,1,4536,0.00022,16.0,1393.5501412153244,0.011481,[396319],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Leaseweb USA, Inc.",15,4536,0.0033060000000000003,14.000015,1393.5501412153244,0.010047,"[30633, 396362]",['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"The Constant Company, LLC",15,4536,0.003307,12.000046,1393.5501412153244,0.008611,[20473],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
3xK Tech GmbH,11,4536,0.002425,11.0,1393.5501412153244,0.007893,"[200373, 198571]",['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Clouvider Limited,32,4536,0.007055,9.00058,1393.5501412153244,0.006459,[62240],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Dmitrii Vladimirovich Malkov,9,4536,0.001984,9.0,1393.5501412153244,0.006458,"[210695, 210852]",['RU'],['None'],['None']
LLC Vpsville,11,4536,0.002425,8.1875,1393.5501412153244,0.005875,[59504],['RU'],['Computer and Information Technology'],['Software Development']
SIXNET OPERATION LTD,9,4536,0.001984,8.003906,1393.5501412153244,0.005744,[198231],['GB'],['None'],['None']
LLC Baxet,10,4536,0.002205,8.000031,1393.5501412153244,0.005741,"[51659, 49392]",['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Ferdinand Zink trading as Tube-Hosting,8,4536,0.001764,7.003906,1393.5501412153244,0.005026,[49581],['DE'],['Computer and Information Technology'],['Software Development']
IT Express Ltd.,9,4536,0.001984,7.000031,1393.5501412153244,0.005023,[47596],['UA'],['Service'],"['Law, Business, and Consulting Services']"
Netex Limited,6,4536,0.001323,6.0,1393.5501412153244,0.004306,[51837],['HK'],['Computer and Information Technology'],['Software Development']
ArtPlanet LLC,6,4536,0.001323,6.0,1393.5501412153244,0.004306,[49542],['RU'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Hivelocity Inc,12,4536,0.002646,5.009033,1393.5501412153244,0.003594,[61317],['US'],['Computer and Information Technology'],['None']
LeaseWeb Netherlands B.V.,5,4536,0.001102,5.0,1393.5501412153244,0.003588,[60781],['NL'],['Computer and Information Technology'],['None']
Vinters IT Ltd,8,4536,0.001764,4.000519,1393.5501412153244,0.002871,[62217],['GB'],['Computer and Information Technology'],['None']
Kontel LLC,4,4536,0.000882,4.0,1393.5501412153244,0.00287,[204490],['RU'],['Computer and Information Technology'],['Hosting and Cloud Provider']
HostRoyale Technologies Pvt Ltd,4,4536,0.000882,4.0,1393.5501412153244,0.00287,[207990],['IN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Cloudflare London, LLC",16,4536,0.003527,3.000198,1393.5501412153244,0.002153,[209242],['US'],['Service'],"['Law, Business, and Consulting Services']"
Delta Ltd,6,4536,0.001323,3.000046,1393.5501412153244,0.002153,[213220],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Scaleblade, Ltd.",4,4536,0.000882,3.000015,1393.5501412153244,0.002153,[52041],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
ServTech LTD,4,4536,0.000882,3.000015,1393.5501412153244,0.002153,[208626],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
STARK INDUSTRIES SOLUTIONS LTD,3,4536,0.000661,3.0,1393.5501412153244,0.002153,[44477],['GB'],['Manufacturing'],"['Metal, Glass, Wood, and Paper Manufacturing']"
Manir LLC,3,4536,0.000661,3.0,1393.5501412153244,0.002153,[60389],['RU'],['Finance and Insurance'],"['Banks, Credit Card Companies, Mortgage Providers']"
Sole trader Malkov Dmitrii Vladimirovich,3,4536,0.000661,3.0,1393.5501412153244,0.002153,[48108],['RU'],['Computer and Information Technology'],['None']
I-SERVERS LTD,3,4536,0.000661,3.0,1393.5501412153244,0.002153,[209641],['GB'],['Education and Research'],['None']
"AT&T Services, Inc.",3,4536,0.000661,3.0,1393.5501412153244,0.002153,[7018],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Citytelecom LLC,3,4536,0.000661,3.0,1393.5501412153244,0.002153,[3175],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
GalaxyStar LLC,3,4536,0.000661,3.0,1393.5501412153244,0.002153,[206873],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
RoyaleHosting BV,3,4536,0.000661,3.0,1393.5501412153244,0.002153,[212477],['NL'],['Computer and Information Technology'],['None']
JSC IOT,3,4536,0.000661,3.0,1393.5501412153244,0.002153,[29182],['RU'],['Computer and Information Technology'],['None']
Okay-Telecom Ltd.,3,4536,0.000661,3.0,1393.5501412153244,0.002153,[199669],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Perfect Cloud Technologies LLC,4,4536,0.000882,2.125,1393.5501412153244,0.001525,[211027],['RU'],"['Media, Publishing, and Broadcasting']",['Other']
Malkov D.V.,3,4536,0.000661,2.000015,1393.5501412153244,0.001435,[212521],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Comfortel Ltd.,3,4536,0.000661,2.000015,1393.5501412153244,0.001435,[56534],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
UPSTREAM NETWORK LTD,3,4536,0.000661,2.000015,1393.5501412153244,0.001435,[202888],['GB'],['None'],['None']
DNS0.EU A.D.,2,4536,0.000441,2.0,1393.5501412153244,0.001435,[50902],['FR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Sprint,2,4536,0.000441,2.0,1393.5501412153244,0.001435,[1239],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Al Asmary Abdullah Ibrahim A,2,4536,0.000441,2.0,1393.5501412153244,0.001435,[210499],['SA'],['Computer and Information Technology'],['Software Development']
Overweb Srl,2,4536,0.000441,2.0,1393.5501412153244,0.001435,[42692],['IT'],['None'],['None']
Cox Communications Inc.,2,4536,0.000441,2.0,1393.5501412153244,0.001435,[22773],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Scalaxy B.V.,2,4536,0.000441,2.0,1393.5501412153244,0.001435,[58061],['LV'],['Computer and Information Technology'],['Hosting and Cloud Provider']
"Fastly, Inc.",150,4536,0.033069,1.439896,1393.5501412153244,0.001033,[54113],['US'],['Computer and Information Technology'],['Software Development']
NTX Technologies s.r.o.,2,4536,0.000441,1.000015,1393.5501412153244,0.000718,[50113],['CZ'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
23M GmbH,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[47447],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
First Root UG (haftungsbeschraenkt),1,4536,0.00022,1.0,1393.5501412153244,0.000718,[41108],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Serverel Inc.,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[15317],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Fiberocity Ltd,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[199614],['GB'],['None'],['None']
hosTELyon SAS,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[209146],['FR'],['Computer and Information Technology'],['None']
RODRIGUEZ PEDRO ALBERTO JUAN,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[271991],['AR'],['None'],['None']
Getechbrothers,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[150445],['LT'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Leaseweb Deutschland GmbH,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[28753],['DE'],['Computer and Information Technology'],['None']
MRGROUP INVESTMENTS LIMITED,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[61178],['CY'],['Service'],"['Law, Business, and Consulting Services']"
MOACK.Co.LTD,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[135605],['KR'],['Computer and Information Technology'],['None']
SIA VEESP,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[43317],['LV'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SORACOM. INC.,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[131910],['JP'],['None'],['None']
Ilm-Provider UG (haftungsbeschraenkt),1,4536,0.00022,1.0,1393.5501412153244,0.000718,[196968],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
MULTIDIST SARL,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[60703],['FR'],['Computer and Information Technology'],['Software Development']
WorldStream B.V.,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[49981],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Modesco LLC,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[56434],['RU'],['Education and Research'],['Elementary and Secondary Schools']
DNT Solutions,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[147057],['PK'],['None'],['None']
Arcus Novus UAB,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[51259],['LT'],['Manufacturing'],['Electronics and Computer Components']
Universitas Brawijaya,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[46019],['ID'],['Education and Research'],"['Colleges, Universities, and Professional Schools']"
BAI Communications Inc.,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[396113],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"CHUAN KAI INTERNATIONAL CO., LTD",1,4536,0.00022,1.0,1393.5501412153244,0.000718,[133375],['TW'],['Travel and Accommodation'],['Other']
UK On-line Agri-sales Limited,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[202235],['GB'],['Computer and Information Technology'],['None']
China Education and Research Network Center,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[4538],['CN'],['Education and Research'],"['Colleges, Universities, and Professional Schools']"
TEKNOTEL TELEKOMUNIKASYON SANAYI VE TICARET A.S.,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[25145],['TR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
FIBERTEL PERU S.A.,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[266732],['PE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Netversor GmbH,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[200081],['DE'],['Service'],"['Law, Business, and Consulting Services']"
DGN TEKNOLOJI A.S.,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[43260],['TR'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Eskisehir Bilisim Iletisim San. ve Tic. A.S.,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[196733],['TR'],['Computer and Information Technology'],['None']
Wicked Networks Limited,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[141444],['HK'],['Other'],['None']
Planisware Singapore Pte. Ltd,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[150347],['SG'],['Computer and Information Technology'],['Software Development']
ETISALAT MISR,1,4536,0.00022,1.0,1393.5501412153244,0.000718,[36992],['EG'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Rohmad Kumiadin,125,4536,0.027557,0.601807,1393.5501412153244,0.000432,[210842],['ID'],['None'],['None']
FranTech Solutions,5,4536,0.001102,0.3125,1393.5501412153244,0.000224,[53667],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
NetAssist LLC,7,4536,0.001543,0.067627,1393.5501412153244,4.9e-05,[8772],['UA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
