category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Service,135,4528,0.029817,1004.0048209999999,1389.612793803215,0.7225069999999999,"[397165, 47596, 209242, 61178, 200081, 400519, 15967, 201633, 131662, 138190, 205989]"
Computer and Information Technology,3991,4528,0.8814210000000003,264.231975,1389.612793803215,0.19015299999999996,"[396356, 44812, 210107, 396319, 20473, 30633, 200373, 62240, 59504, 49581, 49542, 51659, 51837, 61317, 60781, 62217, 204490, 207990, 52041, 208626, 48108, 206873, 29182, 199669, 3175, 7018, 212477, 49392, 56534, 212521, 58061, 50902, 210499, 22773, 198571, 1239, 54113, 213220, 50113, 64080, 396362, 135605, 49981, 60703, 396113, 25145, 41108, 43317, 28753, 15317, 202235, 36992, 196968, 43260, 47447, 196733, 209146, 266732, 150347, 150445, 53667, 8772, 6939, 45609, 16509, 36183, 174, 13335, 53356, 202528, 33480, 38732, 28573, 36791, 58057, 36492, 9009, 19551, 15133, 50867, 40509, 200866, 51847, 199974, 136620, 16724, 47583, 263110, 32931, 203314, 20253, 20446, 41378, 46562, 212238, 60539, 40676, 949, 1921, 56758, 207021, 9902, 205544, 197433, 14153, 208685, 59711, 198412, 37963, 133612, 140810, 48254, 13213, 62874, 201178, 210937, 394923, 211759, 25923, 400797, 209181, 47720, 55081, 61323, 63213, 51430, 133480, 137502, 139693, 30081, 141039, 200393, 201029, 30811, 43357, 206368, 4657, 7713, 4761, 4788, 6762, 16625, 58453]"
None,278,4528,0.06140099999999999,86.07525400000003,1389.612793803215,0.061943000000000005,"[204916, 198231, 210695, 202888, 42692, 210852, 131910, 199614, 147057, 271991, 210842, 151814, 199186, 197730, 200021, 216157, 202911, 151407, 201217, 216107, 197919, 33760, 197606, 399358, 216452, 216435, 211051, 54197, 151464, 202662]"
Finance and Insurance,20,4528,0.004417999999999999,18.000030000000002,1389.612793803215,0.012953,"[209968, 60389, 51126, 201836, 207713]"
Education and Research,23,4528,0.005081,6.014907,1389.612793803215,0.00433,"[209641, 56434, 4538, 46019, 270410, 141173, 60310, 206981, 140731]"
Manufacturing,6,4528,0.0013260000000000001,4.000030000000001,1389.612793803215,0.002879,"[44477, 51259, 23145, 203635]"
"Media, Publishing, and Broadcasting",20,4528,0.004417,2.172165,1389.612793803215,0.001563,"[211027, 33905, 61112, 199465, 398668, 206843]"
"Freight, Shipment, and Postal Services",5,4528,0.001105,2.000046,1389.612793803215,0.001439,"[56849, 205157]"
Construction and Real Estate,28,4528,0.006185000000000001,1.104553,1389.612793803215,0.000795,"[52042, 399558, 199925, 151338, 39900]"
Other,11,4528,0.0024300000000000003,1.0001539999999998,1389.612793803215,0.00072,"[141444, 50069, 38008, 40138]"
Travel and Accommodation,1,4528,0.000221,1.0,1389.612793803215,0.00072,[133375]
Health Care Services,3,4528,0.000663,0.004395,1389.612793803215,3e-06,[46997]
"Retail Stores, Wholesale, and E-commerce Sites",5,4528,0.001105,0.003967000000000001,1389.612793803215,3e-06,"[205987, 201572, 58339, 207487]"
Community Groups and Nonprofits,2,4528,0.000442,0.000488,1389.612793803215,0.0,[205212]
