aliased prefix,all prefix,sat aliased prefix,sat all prefix,co,loss,new
28941.0,37824.0,9407.44193928392,11568.221691124245,13355.0,25351.0,15586.0
29315.0,37824.0,9238.067927289829,11568.221691124245,28594.0,347.0,721.0
29112.0,37824.0,13262.83923256265,11568.221691124245,28927.0,388.0,185.0
30459.0,37824.0,13818.061907111756,11568.221691124245,28901.0,211.0,1558.0
30190.0,37824.0,14051.2729084779,11568.221691124245,29946.0,513.0,244.0
28856.0,37824.0,5083.364143990985,11568.221691124245,28462.0,1728.0,394.0
29797.0,37824.0,13982.551634440753,11568.221691124245,28444.0,412.0,1353.0
