sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
None,2402,26489,0.09069200000000002,54.09020600000001,83.33253822148359,0.649087,"[209641, 29182, 197992, 29014, 204916, 210644, 197619, 60781, 41405, 201217, 397031, 62217, 61317, 216435, 51115, 56630, 200827, 202888, 41717, 62282, 32934, 48581, 58777, 55990, 44901, 51468, 38, 204055, 205544, 203961, 208058, 200241, 134756, 61323, 198068, 140903, 197730, 197695, 197598, 149042, 140716, 140061, 138915, 138421, 137702, 137697, 8888, 7679, 6724, 11426, 9806, 9605, 9354, 2635, 2497, 513, 4802, 3389, 11917, 29222, 29097, 29066, 27823, 38631, 38365, 33363, 35492, 33760, 12876, 21100, 17511]"
Internet Service Provider (ISP),4726,26489,0.178448,15.436308000000002,83.33253822148359,0.185233,"[44812, 57043, 48261, 30633, 64267, 135981, 213220, 30721, 140810, 138652, 41378, 62874, 9009, 45609, 396356, 6939, 46841, 138997, 46562, 835, 56655, 268972, 51430, 212238, 30860, 33387, 6315, 55081, 5410, 577, 133480, 397373, 12167, 11990, 21859, 11878, 134094, 26527, 9498, 58487, 58541, 43766, 58542, 49544, 45430, 45474, 47447, 59437, 45758, 58453, 53356, 55410, 55644, 55818, 55836, 56040, 44066, 56041, 44974, 51873, 56046, 59605, 50113, 58057, 49981, 45899, 60294, 207375, 205766, 200738, 199752, 207996, 199244, 262459, 266768, 264642, 211786, 209453, 199274, 198571, 60893, 133798, 133159, 131445, 63835, 63410, 134771, 136188, 147049, 136959, 134238, 42487, 5432, 8781, 8697, 8560, 8422, 8342, 7922, 7713, 7545, 7470, 6805, 6762, 6718, 6697, 8943, 9002, 9121, 9824, 10474, 9930, 9929, 9924, 9829, 9808, 9299, 9534, 9500, 9381, 9312, 5606, 4837, 12306, 4835, 2527, 2519, 1955, 1930, 1680, 1547, 1299, 1257, 906, 852, 812, 701, 680, 2860, 3214, 3292, 4651, 4812, 4811, 4808, 4788, 4739, 4657, 4637, 3303, 4230, 4134, 3741, 3462, 3320, 12360, 41357, 24400, 29789, 29413, 29075, 28890, 28573, 28075, 27947, 25454, 24961, 24547, 30764, 30781, 30798, 38040, 40630, 38266, 38255, 174, 35826, 34665, 24444, 12849, 24309, 15943, 15802, 15600, 15169, 15133, 15108, 14522, 14080, 13999, 13285, 13030, 12859, 17185, 17378, 24203, 23884, 23724, 23693, 22822, 22697, 21575, 20853, 20473, 18001, 17639, 17501, 398565]"
Phone Provider,168,26489,0.006342,9.672119,83.33253822148359,0.116067,[395839]
Other,27,26489,0.0010210000000000002,2.0002440000000004,83.33253822148359,0.024002000000000002,"[199925, 46997, 205212, 45090, 200351, 209114, 25148, 40994]"
Hosting and Cloud Provider,6365,26489,0.24029200000000003,1.000306,83.33253822148359,0.012003,"[53667, 13213, 13335, 262287, 16509, 40676, 48635, 58810, 49542, 55303, 54455, 204490, 202505, 200487, 395747, 213192, 135967, 142055, 6233, 35470, 16276]"
Software Development,2788,26489,0.10525300000000001,0.12908599999999998,83.33253822148359,0.001549,"[36492, 54113, 45027, 58466, 47583, 59504, 205125, 209622, 63949, 36351, 25923, 25532, 39122, 34762, 17428]"
Online Music and Video Streaming Services,9596,26489,0.362264,0.0041210000000000005,83.33253822148359,4.899999999999999e-05,"[396982, 60068, 20940, 43614, 21342]"
Online Informational Content,15,26489,0.000566,9.8e-05,83.33253822148359,1e-06,[149485]
"Law, Business, and Consulting Services",43,26489,0.0016240000000000002,1.5e-05,83.33253822148359,0.0,"[205100, 210083, 1221, 15967]"
"Military, Defense, National Security, and International Affairs",37,26489,0.001397,1.5e-05,83.33253822148359,0.0,"[19969, 397232, 397226, 397224, 62571]"
"Colleges, Universities, and Professional Schools",14,26489,0.0005300000000000001,8e-06,83.33253822148359,0.0,"[1659, 204679, 4538, 24357]"
Computer and Network Security,282,26489,0.010646,5e-06,83.33253822148359,0.0,"[8100, 11019, 33438, 16625, 19551]"
"Recreation, Sports, and Performing Arts",6,26489,0.00022700000000000002,0.0,83.33253822148359,0.0,"[131486, 137753]"
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",1,26489,3.8e-05,0.0,83.33253822148359,0.0,[131662]
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6,26489,0.00022700000000000002,0.0,83.33253822148359,0.0,"[211309, 210079, 16345]"
"Investment, Portfolio Management, Pensions and Funds",1,26489,3.8e-05,0.0,83.33253822148359,0.0,[134762]
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4,26489,0.000151,0.0,83.33253822148359,0.0,[208492]
"Government and Regulatory Agencies, Administrations, Departments, and Services",5,26489,0.000189,0.0,83.33253822148359,0.0,[134768]
"Law Enforcement, Public Safety, and Justice",3,26489,0.000113,0.0,83.33253822148359,0.0,[15130]
