category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",42.0,27034.0,0.0015535991714137752,0.0,88.33261990313,0.0
Community Groups and Nonprofits,15.0,31564.0,0.00047522493980484094,0.00061,1473.148294625325,4.1407915430207594e-07
Computer and Information Technology,18806.0,31564.0,0.5958053478646559,301.567432,1473.148294625325,0.20470948722558818
Construction and Real Estate,36.0,31564.0,0.0011405398555316183,3.104553,1473.148294625325,0.0021074273454524148
Education and Research,88.0,31564.0,0.0027879863135217334,36.014915,1473.148294625325,0.024447582861411722
Finance and Insurance,20.0,31564.0,0.0006336332530731213,18.000015,1473.148294625325,0.012218739325614233
"Freight, Shipment, and Postal Services",18.0,31564.0,0.0005702699277658091,2.000046,1473.148294625325,0.0013576677971233605
Government and Public Administration,45.0,27034.0,0.0016645705408004734,1.5e-05,88.33261990313,1.6981269225853095e-07
Health Care Services,13.0,31564.0,0.00041186161449752884,0.00061,1473.148294625325,4.1407915430207594e-07
Manufacturing,6.0,4530.0,0.0013245033112582781,4.000030000000001,1384.815674722195,0.0028884927236272357
"Media, Publishing, and Broadcasting",9917.0,31564.0,0.3141870485363072,1.1763849999999996,1473.148294625325,0.0007985516490715532
"Museums, Libraries, and Entertainment",6.0,27034.0,0.00022194273877339647,0.0,88.33261990313,0.0
None,357.0,31564.0,0.011310353567355215,101.27428300000003,1473.148294625325,0.06874683517571986
Other,38.0,31564.0,0.0012039031808389305,1.0005659999999998,1473.148294625325,0.0006792024968908375
"Retail Stores, Wholesale, and E-commerce Sites",1976.0,31564.0,0.06260296540362438,0.003968,1473.148294625325,2.693550957820717e-06
Service,180.0,31564.0,0.005702699277658091,1004.0048519999998,1473.148294625325,0.6815368525103949
Travel and Accommodation,1.0,4530.0,0.0002207505518763797,1.0,1384.815674722195,0.0007221177650235711
