category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Service,135,4513,0.029915999999999998,1004.0048209999999,1382.6904915571213,0.7261240000000001,"[397165, 47596, 209242, 61178, 200081, 400519, 15967, 205989, 131662, 138190, 201633]"
Computer and Information Technology,3975,4513,0.8808110000000002,256.24352700000003,1382.6904915571213,0.185312,"[396356, 44812, 210107, 396319, 30633, 20473, 59504, 62240, 49581, 200373, 51837, 49542, 61317, 60781, 62217, 204490, 207990, 51659, 213220, 29182, 208626, 3175, 7018, 48108, 206873, 212477, 49392, 212521, 56534, 198571, 50902, 58061, 1239, 22773, 54113, 50113, 135605, 210499, 15317, 49981, 266732, 47447, 396113, 396362, 60703, 36992, 209146, 202235, 199669, 30721, 28753, 196968, 196733, 150347, 41108, 43260, 43317, 150445, 25145, 53667, 8772, 6939, 45609, 16509, 36183, 174, 13335, 53356, 38732, 202528, 36791, 58057, 202990, 33480, 28573, 36492, 9009, 19551, 15133, 50867, 40509, 200866, 199974, 136620, 47583, 16724, 51847, 263110, 203314, 32931, 20253, 20446, 41378, 1921, 46562, 212238, 60539, 949, 40676, 56758, 197433, 208685, 14153, 205544, 9902, 62874, 13213, 59711, 133612, 140810, 198412, 37963, 48254, 201178, 394923, 211759, 6369, 210937, 55081, 52041, 43357, 141039, 139693, 47720, 133480, 200393, 201029, 209181, 206368, 25923, 30081, 30811, 400797, 61323, 51430, 63213, 7713, 58453, 4788, 4761, 4657, 16625, 6762]"
None,283,4513,0.062712,89.14532300000002,1382.6904915571213,0.064471,"[204916, 198231, 210695, 42692, 210852, 131910, 271991, 147057, 199614, 210842, 151814, 199186, 197730, 200021, 151407, 202911, 216157, 201217, 33760, 197606, 197919, 211051, 216435, 399358, 216452, 54197, 151464, 202662, 202888]"
Finance and Insurance,19,4513,0.0042109999999999995,18.000015,1382.6904915571213,0.013018,"[209968, 60389, 51126, 201836]"
Education and Research,23,4513,0.0050999999999999995,6.014907,1382.6904915571213,0.00435,"[209641, 4538, 56434, 46019, 270410, 141173, 60310, 206981, 140731]"
Manufacturing,5,4513,0.001109,3.0000299999999998,1382.6904915571213,0.00217,"[44477, 23145, 203635]"
"Freight, Shipment, and Postal Services",5,4513,0.001108,2.000046,1382.6904915571213,0.001446,"[56849, 205157]"
"Media, Publishing, and Broadcasting",19,4513,0.0042109999999999995,1.1721649999999997,1382.6904915571213,0.000848,"[211027, 33905, 61112, 199465, 398668, 206843]"
Construction and Real Estate,28,4513,0.006205,1.104553,1382.6904915571213,0.000798,"[52042, 399558, 199925, 151338, 39900]"
Other,11,4513,0.002437,1.0001539999999998,1382.6904915571213,0.000723,"[141444, 50069, 40138, 38008]"
Travel and Accommodation,1,4513,0.000222,1.0,1382.6904915571213,0.000723,[133375]
"Retail Stores, Wholesale, and E-commerce Sites",5,4513,0.001109,0.003967000000000001,1382.6904915571213,3e-06,"[205987, 201572, 58339, 207487]"
Community Groups and Nonprofits,2,4513,0.000443,0.000488,1382.6904915571213,0.0,[205212]
Health Care Services,2,4513,0.000443,0.000488,1382.6904915571213,0.0,[46997]
