country,country_alias_num,country_all_num,country_ratio,sta_country_alias_num,sta_country_all_num,sat_country_ratio,as
US,3573,4518,0.7908310000000002,1083.926924,1381.6280983686447,0.7845260000000001,"[397165, 396356, 396319, 30633, 20473, 61317, 209242, 7018, 1239, 22773, 54113, 15317, 396362, 53667, 6939, 16509, 36183, 174, 13335, 400519, 46997, 199465, 36791, 33480, 60310, 36492, 15133, 19551, 40509, 201217, 16724, 32931, 398668, 20253, 20446, 41378, 46562, 949, 50069, 40676, 14153, 205157, 33760, 62874, 40138, 37963, 394923, 399358, 216435, 55081, 6369, 206368, 400797, 207487, 30081, 25923, 23145, 16625]"
RU,115,4518,0.025452,95.328293,1381.6280983686447,0.06899700000000002,"[44812, 59504, 210695, 49542, 51659, 204490, 211027, 213220, 60389, 206873, 208626, 48108, 29182, 3175, 49392, 212521, 56534, 210852, 56434, 30721, 199669, 199186, 39900]"
TH,97,4518,0.02147,61.375,1381.6280983686447,0.044422,[204916]
GB,89,4518,0.019696999999999996,27.014221000000006,1381.6280983686447,0.019552,"[62240, 198231, 62217, 209641, 199614, 44477, 202235, 61112, 136620, 206981, 212238, 56758, 205544, 13213, 48254, 198412, 58339, 61323, 52041, 202888, 203635, 209181]"
DE,28,4518,0.006194999999999999,23.011748000000004,1381.6280983686447,0.016656999999999998,"[200373, 49581, 198571, 47447, 196968, 41108, 200081, 28753, 205987, 210937, 200393]"
TR,22,4518,0.004868999999999999,20.000031,1381.6280983686447,0.014476000000000003,"[210107, 196733, 43260, 25145, 201178]"
PT,18,4518,0.003984,18.0,1381.6280983686447,0.013029,"[209968, 51126, 56849, 52042]"
NL,29,4518,0.006418,9.040130999999999,1381.6280983686447,0.006543,"[60781, 212477, 49981, 33905, 50867, 208685, 197919, 51430]"
UA,19,4518,0.0042049999999999995,7.067704,1381.6280983686447,0.005116000000000001,"[47596, 8772, 201572, 201836]"
HK,37,4518,0.008188,7.0116570000000005,1381.6280983686447,0.005075,"[51837, 141444, 151338, 151407, 199974, 51847, 60539, 38008, 211759, 202662, 138190, 58453]"
IN,170,4518,0.037626999999999994,4.039612,1381.6280983686447,0.002924,"[207990, 45609, 216452]"
FR,4,4518,0.0008849999999999999,4.0,1381.6280983686447,0.002896,"[50902, 60703, 209146]"
LV,3,4518,0.000664,3.0,1381.6280983686447,0.0021720000000000003,"[58061, 43317]"
SA,2,4518,0.000443,2.0,1381.6280983686447,0.001448,[210499]
IT,4,4518,0.000886,2.0,1381.6280983686447,0.001448,"[42692, 6762]"
ID,131,4518,0.028995000000000003,1.5979,1381.6280983686447,0.001157,"[46019, 210842, 7713, 4761]"
CA,12,4518,0.0026539999999999997,1.0750110000000002,1381.6280983686447,0.000778,"[396113, 399558, 53356, 202911, 202528, 205212, 203314, 63213, 54197, 139693]"
CN,12,4518,0.0026550000000000002,1.066544,1381.6280983686447,0.000772,"[4538, 151814, 200021, 197433, 206843, 211051, 151464, 140731]"
TW,2,4518,0.000442,1.003906,1381.6280983686447,0.000727,"[133375, 141173]"
CY,22,4518,0.004869,1.00032,1381.6280983686447,0.000724,"[61178, 47583]"
CZ,2,4518,0.000443,1.000015,1381.6280983686447,0.000724,[50113]
PE,1,4518,0.000221,1.0,1381.6280983686447,0.000724,[266732]
AR,1,4518,0.000221,1.0,1381.6280983686447,0.000724,[271991]
PK,1,4518,0.000221,1.0,1381.6280983686447,0.000724,[147057]
SG,2,4518,0.000442,1.0,1381.6280983686447,0.000724,"[150347, 4657]"
LT,1,4518,0.000221,1.0,1381.6280983686447,0.000724,[150445]
JP,1,4518,0.000221,1.0,1381.6280983686447,0.000724,[131910]
EG,1,4518,0.000221,1.0,1381.6280983686447,0.000724,[36992]
KR,1,4518,0.000221,1.0,1381.6280983686447,0.000724,[135605]
VG,11,4518,0.0024349999999999997,0.042968,1381.6280983686447,3.1e-05,"[199925, 197730]"
BR,15,4518,0.0033189999999999995,0.010986,1381.6280983686447,8.000000000000001e-06,"[270410, 28573, 263110]"
VN,3,4518,0.000664,0.003937,1381.6280983686447,3e-06,"[38732, 140810]"
CH,1,4518,0.000221,0.003906,1381.6280983686447,3e-06,[58057]
None,1,4518,0.000221,0.003906,1381.6280983686447,3e-06,[216157]
RO,35,4518,0.007747,0.002365,1381.6280983686447,2e-06,[9009]
PH,20,4518,0.004427,0.000534,1381.6280983686447,0.0,[200866]
AT,14,4518,0.0030979999999999996,0.000213,1381.6280983686447,0.0,"[1921, 207021, 205989]"
AU,3,4518,0.000664,4.6e-05,1381.6280983686447,0.0,"[133612, 133480]"
KH,3,4518,0.000664,4.6e-05,1381.6280983686447,0.0,[9902]
ES,2,4518,0.000443,3.1e-05,1381.6280983686447,0.0,[197606]
BG,2,4518,0.000443,3.1e-05,1381.6280983686447,0.0,[59711]
SE,2,4518,0.000442,3e-05,1381.6280983686447,0.0,"[201633, 30811]"
PL,2,4518,0.000442,3e-05,1381.6280983686447,0.0,"[15967, 201029]"
IE,1,4518,0.000221,1.5e-05,1381.6280983686447,0.0,[47720]
VU,1,4518,0.000221,1.5e-05,1381.6280983686447,0.0,[43357]
PA,1,4518,0.000221,1.5e-05,1381.6280983686447,0.0,[141039]
MY,1,4518,0.000221,0.0,1381.6280983686447,0.0,[4788]
