category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",41.0,37445.0,0.001094939244224863,0.0,20.022785014083787,0.0
Community Groups and Nonprofits,22.0,41802.0,0.0005262906081048754,0.000611,1407.568302518299,4.340819546069997e-07
Computer and Information Technology,13867.0,41802.0,0.3317305392086503,281.1914,1407.568302518299,0.1997710516050388
Construction and Real Estate,2038.0,41802.0,0.048753648150806184,2.104553000000001,1407.568302518299,0.0014951693613977505
Education and Research,231.0,41802.0,0.005526051385101191,5.014892,1407.568302518299,0.0035628054361751325
Finance and Insurance,19.0,41802.0,0.0004545237069996651,17.000015,1407.568302518299,0.012077577315136359
"Freight, Shipment, and Postal Services",17.0,41802.0,0.00040667910626285823,2.000046,1407.568302518299,0.0014209228755874166
Government and Public Administration,42.0,37445.0,0.0011216450794498598,0.0,20.022785014083787,0.0
Health Care Services,74.0,41802.0,0.0017702502272618536,0.000488,1407.568302518299,3.4669720760755464e-07
Manufacturing,5.0,4357.0,0.0011475786091347257,4.000015,1387.5455175042152,0.002882799122291027
"Media, Publishing, and Broadcasting",23039.0,41802.0,0.5511458781876465,2.172266,1407.568302518299,0.0015432757302885907
"Museums, Libraries, and Entertainment",6.0,37445.0,0.00016023501134997998,0.0,20.022785014083787,0.0
None,465.0,41802.0,0.011123869671307593,88.07505300000003,1407.568302518299,0.06257248962087579
Other,12.0,41802.0,0.00028706760442084113,1.0001539999999998,1407.568302518299,0.0007105545061014879
"Retail Stores, Wholesale, and E-commerce Sites",1742.0,41802.0,0.041672647241758766,0.003967,1407.568302518299,2.818335702006494e-06
Service,181.0,41802.0,0.00432993636668102,1004.004822,1407.568302518299,0.7132903037129507
Travel and Accommodation,1.0,4357.0,0.00022951572182694515,1.0,1387.5455175042152,0.0007206970779587143
