category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",41.0,37595.0,0.0010905705545950258,0.0,20.022754284862607,0.0
Community Groups and Nonprofits,22.0,41979.0,0.0005240715595893184,0.000611,1411.569767150406,4.3285143548621817e-07
Computer and Information Technology,13990.0,41979.0,0.33326186902975297,282.19287800000006,1411.569767150406,0.19991422639326883
Construction and Real Estate,2038.0,41979.0,0.04854808356559232,2.104553000000001,1411.569767150406,0.0014909309117951347
Education and Research,231.0,41979.0,0.005502751375687844,5.014892,1411.569767150406,0.0035527057299645686
Finance and Insurance,20.0,41979.0,0.0004764286905357441,18.000015,1411.569767150406,0.012751771410022029
"Freight, Shipment, and Postal Services",18.0,41979.0,0.00042878582148216966,2.000046,1411.569767150406,0.0014168948971169703
Government and Public Administration,43.0,37595.0,0.0011437691182338077,0.0,20.022754284862607,0.0
Health Care Services,75.0,41979.0,0.0017866075895090403,0.000488,1411.569767150406,3.45714403465261e-07
Manufacturing,5.0,4384.0,0.0011405109489051094,4.000015,1391.5470128655434,0.002874509422260171
"Media, Publishing, and Broadcasting",23075.0,41979.0,0.5496796017056147,2.172267,1411.569767150406,0.0015389016190005577
"Museums, Libraries, and Entertainment",6.0,37595.0,0.00015959569091634525,0.0,20.022754284862607,0.0
None,467.0,41979.0,0.011124609924009625,90.07505300000003,1411.569767150406,0.0638119738012229
Other,12.0,41979.0,0.0002858572143214464,1.0001539999999998,1411.569767150406,0.0007085402530397429
"Retail Stores, Wholesale, and E-commerce Sites",1754.0,41979.0,0.04178279615998475,0.003967,1411.569767150406,2.8103463904645293e-06
Service,181.0,41979.0,0.0043116796493484835,1004.004822,1411.569767150406,0.7112682953155237
Travel and Accommodation,1.0,4384.0,0.0002281021897810219,1.0,1391.5470128655434,0.000718624660722565
