category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",41.0,37577.0,0.0010910929557974294,0.0,18.0229904217014,0.0
Community Groups and Nonprofits,22.0,41912.0,0.0005249093338423363,0.000611,1405.502712027479,4.347199011225062e-07
Computer and Information Technology,13956.0,41912.0,0.33298339377743846,278.188323,1405.502712027479,0.1979279873453287
Construction and Real Estate,2038.0,41912.0,0.048625691925940066,2.104553000000001,1405.502712027479,0.0014973667300606781
Education and Research,231.0,41912.0,0.005511548005344531,5.014892,1405.502712027479,0.0035680414965303556
Finance and Insurance,20.0,41912.0,0.000477190303493033,18.000015,1405.502712027479,0.01280681627005504
"Freight, Shipment, and Postal Services",18.0,41912.0,0.0004294712731437297,2.000046,1405.502712027479,0.0014230111282495322
Government and Public Administration,43.0,37577.0,0.001144317002421694,0.0,18.0229904217014,0.0
Health Care Services,75.0,41912.0,0.001789463638098874,0.000488,1405.502712027479,3.472067295381064e-07
Manufacturing,5.0,4335.0,0.0011534025374855825,4.000015,1387.4797216057775,0.002882935827970622
"Media, Publishing, and Broadcasting",23047.0,41912.0,0.5498902462301966,2.172266,1405.502712027479,0.0015455437982516893
"Museums, Libraries, and Entertainment",6.0,37577.0,0.00015967213987279452,0.0,18.0229904217014,0.0
None,464.0,41912.0,0.011070815041038367,88.01255300000003,1405.502712027479,0.0626199809127649
Other,12.0,41912.0,0.00028631418209581984,1.0001539999999998,1405.502712027479,0.0007115987692099492
"Retail Stores, Wholesale, and E-commerce Sites",1752.0,41912.0,0.04180187058598969,0.003967,1405.502712027479,2.8224776558968614e-06
Service,181.0,41912.0,0.004318572246611948,1004.004822,1405.502712027479,0.7143385874735834
Travel and Accommodation,1.0,4335.0,0.0002306805074971165,1.0,1387.4797216057775,0.000720731254250452
