sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
None,2708,37595,0.07203699999999999,14.000107,20.022754284862607,0.699209,"[29182, 204916, 202888, 197992, 62217, 61317, 41717, 62282, 149151, 140824, 51468, 51115, 55990, 56630, 210644, 216271, 58777, 44901, 397031, 48581, 216435, 137697, 137702, 138421, 138915, 140061, 140716, 140903, 149042, 200827, 197598, 197619, 197695, 198068, 205544, 60781, 209641, 61323, 208058, 41405, 134756, 38, 38365, 8888, 7679, 6724, 9354, 11917, 11426, 9806, 9605, 2497, 513, 3389, 12876, 29222, 29097, 29066, 29014, 27823, 38631, 35492, 32934, 33760, 33363, 21100, 17511]"
Internet Service Provider (ISP),4426,37595,0.11775299999999998,3.9469280000000007,20.022754284862607,0.19712100000000002,"[57043, 51659, 64267, 30721, 138652, 41378, 62874, 140810, 45609, 9009, 138997, 30633, 46841, 40509, 268972, 55081, 396356, 133480, 46562, 12167, 11990, 9498, 11878, 26527, 134094, 6939, 397373, 55430, 55410, 211786, 212238, 53356, 55818, 51873, 213220, 51430, 55644, 55836, 49981, 56040, 56041, 56046, 56655, 58057, 58453, 58487, 58541, 50113, 49544, 397423, 42487, 42846, 43766, 44066, 44812, 44974, 45474, 45727, 45758, 45899, 266768, 47447, 48261, 264642, 58542, 59437, 135981, 136188, 136959, 204957, 147049, 200738, 198066, 199244, 199274, 199752, 205766, 206774, 59605, 60294, 60893, 209453, 63023, 63410, 63835, 131445, 207996, 133798, 207375, 134238, 134771, 41000, 9121, 9002, 8943, 8781, 8697, 8657, 8560, 8422, 8342, 7922, 6805, 6762, 6718, 9299, 9312, 9929, 12849, 12360, 12306, 10474, 9924, 9381, 9829, 9824, 9808, 9534, 9500, 6697, 5606, 5432, 1955, 1930, 1680, 1653, 1547, 1299, 1257, 852, 835, 812, 701, 680, 577, 2860, 3214, 3292, 4657, 5410, 4837, 4835, 4812, 4811, 4808, 4788, 4651, 3303, 4637, 4230, 4134, 3462, 3320, 12859, 12874, 13030, 30764, 29789, 29413, 29075, 28890, 28573, 28075, 27947, 25454, 30781, 30798, 30860, 35826, 40630, 174, 38266, 38255, 34665, 33387, 24961, 24547, 24444, 15169, 15943, 15802, 15600, 15133, 17378, 14522, 14080, 13999, 13285, 17185, 24400, 21575, 24309, 24203, 23724, 22822, 22697, 21859, 17501, 20853, 20473, 18001, 398565]"
Phone Provider,11,37595,0.000293,2.0,20.022754284862607,0.099886,[395839]
Software Development,2857,37595,0.075994,0.075294,20.022754284862607,0.00376,"[36492, 54113, 45027, 58466, 47583, 205125, 59504, 209622, 63949, 25923, 25532, 39122, 36351, 34762, 17428]"
Hosting and Cloud Provider,2067,37595,0.054984000000000005,0.000227,20.022754284862607,1.1e-05,"[13213, 16509, 262287, 40676, 53667, 54455, 213192, 395747, 48635, 49542, 202505, 200487, 135967, 6233, 8283, 35470, 16276, 14340, 13335]"
Online Music and Video Streaming Services,23048,37595,0.6130599999999999,0.00010200000000000001,20.022754284862607,4.9999999999999996e-06,"[60068, 20940, 396982, 43614, 21342]"
Other,2096,37595,0.055753,9.2e-05,20.022754284862607,5e-06,"[205212, 200351, 45090, 46997, 199925, 209114, 40994, 25148]"
Computer and Network Security,270,37595,0.007182,2e-06,20.022754284862607,0.0,"[8100, 11019, 33438, 16625, 19551]"
"Recreation, Sports, and Performing Arts",6,37595,0.00016,0.0,20.022754284862607,0.0,"[137753, 131486]"
Online Informational Content,3,37595,8e-05,0.0,20.022754284862607,0.0,[149485]
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",5,37595,0.000133,0.0,20.022754284862607,0.0,"[210079, 16345]"
"Military, Defense, National Security, and International Affairs",35,37595,0.0009299999999999999,0.0,20.022754284862607,0.0,"[397232, 397226, 397220, 62571, 19969]"
"Colleges, Universities, and Professional Schools",5,37595,0.000134,0.0,20.022754284862607,0.0,"[204679, 1659, 4538, 24357]"
"Law Enforcement, Public Safety, and Justice",3,37595,8e-05,0.0,20.022754284862607,0.0,[15130]
"Investment, Portfolio Management, Pensions and Funds",1,37595,2.7e-05,0.0,20.022754284862607,0.0,[134762]
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4,37595,0.000106,0.0,20.022754284862607,0.0,[208492]
"Government and Regulatory Agencies, Administrations, Departments, and Services",5,37595,0.000133,0.0,20.022754284862607,0.0,[134768]
"Law, Business, and Consulting Services",45,37595,0.001198,0.0,20.022754284862607,0.0,"[210083, 205100, 1221, 15967]"
