sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
"Law, Business, and Consulting Services",92,4349,0.021154000000000003,1004.000275,1387.5463109612465,0.7235799999999999,"[397165, 47596, 209242, 61178, 200081, 15967, 201626]"
Internet Service Provider (ISP),636,4349,0.14624900000000002,195.15766499999998,1387.5463109612465,0.140653,"[396356, 44812, 210107, 396319, 20473, 30633, 1239, 62240, 7018, 51659, 207990, 213220, 198571, 3175, 49392, 56534, 212521, 50902, 208626, 22773, 53356, 50113, 396113, 49981, 266732, 396362, 41108, 25145, 36992, 200373, 196968, 47447, 150445, 15317, 43317, 199669, 6939, 45609, 174, 38732, 211759, 202528, 28573, 33480, 36791, 9009, 15133, 8772, 40509, 136620, 16724, 203314, 263110, 20446, 20253, 41378, 212238, 46562, 56758, 14153, 59711, 140810, 62874, 394923, 6369, 400797, 209181, 55081, 52041, 51430, 63213, 133480, 139693, 30081, 47720, 43357, 197433, 201029, 200393, 6762, 4788, 4761, 4657, 58453]"
None,366,4349,0.08416499999999998,115.15581000000003,1387.5463109612465,0.082995,"[204916, 210695, 60781, 61317, 62217, 48108, 29182, 209641, 212477, 210852, 42692, 271991, 135605, 131910, 141444, 147057, 209146, 202235, 28753, 198231, 199614, 196733, 210842, 399558, 151814, 199186, 197730, 200021, 141173, 202911, 151407, 201217, 398668, 206981, 50069, 949, 60539, 207021, 208685, 33760, 197606, 201572, 201178, 37963, 38008, 40138, 197919, 48254, 205544, 211051, 216435, 216452, 399358, 151464, 58339, 54197, 61323, 141039, 47952, 203283, 202888, 202662]"
Software Development,438,4349,0.100714,28.632018,1387.5463109612465,0.020634,"[59504, 49581, 51837, 210499, 54113, 60703, 150347, 36492, 200866, 199974, 47583, 198412, 210937, 25923]"
"Investment, Portfolio Management, Pensions and Funds",16,4349,0.003679,15.000015,1387.5463109612465,0.01081,"[209968, 51126, 201836]"
Hosting and Cloud Provider,1468,4349,0.33755099999999993,13.347902000000001,1387.5463109612465,0.009619999999999998,"[49542, 204490, 58061, 43260, 53667, 16509, 13335, 202990, 50867, 40676, 13213]"
Other,72,4349,0.016556,5.173598000000001,1387.5463109612465,0.003727,"[211027, 56849, 133375, 199925, 400519, 205987, 60310, 46997, 205212, 205157, 398962, 30811, 207487, 205989, 201633]"
"Metal, Glass, Wood, and Paper Manufacturing",3,4349,0.00069,3.0,1387.5463109612465,0.002162,[44477]
"Banks, Credit Card Companies, Mortgage Providers",3,4349,0.00069,3.0,1387.5463109612465,0.002162,[60389]
Buildings (Residential or Commercial),16,4349,0.003679,2.006851,1387.5463109612465,0.001446,"[52042, 151338]"
Electronics and Computer Components,2,4349,0.00046,1.000015,1387.5463109612465,0.000721,"[51259, 23145]"
Elementary and Secondary Schools,1,4349,0.00023,1.0,1387.5463109612465,0.000721,[56434]
"Colleges, Universities, and Professional Schools",1,4349,0.00023,1.0,1387.5463109612465,0.000721,[4538]
Online Music and Video Streaming Services,10,4349,0.002299,0.039062,1387.5463109612465,2.8e-05,[33905]
Computer and Network Security,1203,4349,0.276615,0.018341,1387.5463109612465,1.3000000000000001e-05,"[36183, 19551, 16625]"
Online Informational Content,5,4349,0.00115,0.007859,1387.5463109612465,6e-06,"[61112, 199465, 206843]"
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13,4349,0.002989,0.006836,1387.5463109612465,5e-06,[270410]
Real Estate (Residential and/or Commercial),3,4349,0.00069,4.6e-05,1387.5463109612465,0.0,[39900]
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",1,4349,0.00023,1.5e-05,1387.5463109612465,0.0,[131662]
