as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name
38,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['UniversityofIllinois']]
174,9,41802,0.00021530070331563083,0.015656,1407.568303,1.1122728443537564e-05,[['CogentCommunications']]
513,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['CERN-EuropeanOrganizationforNuclearResearch']]
577,20,37445,0.0005341167044999333,0.0,20.022785,0.0,[['BellCanada']]
680,2,37445,5.341167044999332e-05,0.0,20.022785,0.0,[['VereinzurFoerderungeinesDeutschenForschungsnetzese.V.']]
701,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['VerizonBusiness']]
812,35,37445,0.0009347042328748832,0.0,20.022785,0.0,[['RogersCommunicationsCanadaInc.']]
835,2,37445,5.341167044999332e-05,0.0,20.022785,0.0,[['GoCodeITInc']]
852,25,37445,0.0006676458806249165,0.0,20.022785,0.0,[['TELUSCommunicationsInc.']]
949,6,4357,0.001377094330961671,9.2e-05,1387.545518,6.630413114851055e-08,[['xTom']]
1221,40,37445,0.0010682334089998666,0.0,20.022785,0.0,[['TelstraCorporationLimited']]
1239,10,4357,0.0022951572182694515,10.0,1387.545518,0.007206970777012016,[['Sprint']]
1257,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['Tele2SverigeAB']]
1299,72,37445,0.0019228201361997596,0.0,20.022785,0.0,[['ArelionSwedenAB']]
1547,12,37445,0.00032047002269995997,0.0,20.022785,0.0,"[['Societateamixtapeactiunidetipinchis""Interdnestrcom""']]"
1659,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['NationalChungHsingUniversity']]
1680,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['CellcomFixedLineCommunicationL.P']]
1921,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['ipcomGmbH']]
1930,17,37445,0.00045399919882494323,0.0,20.022785,0.0,"[['FundacaoparaaCienciaeaTecnologia', 'I.P.']]"
1955,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['KIFU(GovernmentalInfoTechDevelopmentAgency)']]
2497,4,37445,0.00010682334089998664,0.0,20.022785,0.0,[['InternetInitiativeJapanInc.']]
2860,11,37445,0.0002937641874749633,0.0,20.022785,0.0,"[['NOSCOMUNICACOES', 'S.A.']]"
3175,3,4357,0.0006885471654808355,3.0,1387.545518,0.002162091233103605,[['CitytelecomLLC']]
3214,3,37445,8.011750567498999e-05,0.0,20.022785,0.0,[['xTomGmbH']]
3292,3,37445,8.011750567498999e-05,0.0,20.022785,0.0,[['TDCHoldingA/S']]
3303,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['Swisscom(Schweiz)AG']]
3320,2,37445,5.341167044999332e-05,0.0,20.022785,0.0,[['DeutscheTelekomAG']]
3389,12,37445,0.00032047002269995997,0.0,20.022785,0.0,[['FordMotorCompany']]
3462,3,37445,8.011750567498999e-05,0.0,20.022785,0.0,"[['ChunghwaTelecomCo.', 'Ltd.']]"
4134,14,37445,0.00037388169314995324,0.0,20.022785,0.0,"[['No.31', 'Jin-rongStreet']]"
4230,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['CLAROS.A.']]
4538,2,41802,4.784460073680685e-05,1.0,1407.568303,0.0007104450973133345,[['ChinaEducationandResearchNetworkCenter']]
4637,13,37445,0.0003471758579249566,0.0,20.022785,0.0,[['TelstraInternationalLimited']]
4651,4,37445,0.00010682334089998664,0.0,20.022785,0.0,[['CATTelecomPublicCompanyLimited']]
4657,2,41802,4.784460073680685e-05,0.0,1407.568303,0.0,[['StarhubLtd.']]
4761,3,4357,0.0006885471654808355,0.0,1387.545518,0.0,[['PT.INDOSATTbk']]
4788,13,41802,0.0003109899047892445,0.0,1407.568303,0.0,[['TMTECHNOLOGYSERVICESSDNBHD']]
4808,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['ChinaUnicom']]
4811,2,37445,5.341167044999332e-05,0.0,20.022785,0.0,[['ChinaTelecom(Group)']]
4812,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['ChinaTelecom(Group)']]
4835,2,37445,5.341167044999332e-05,0.0,20.022785,0.0,[['ChinaTelecom(Group)']]
4837,38,37445,0.0010148217385498731,0.0,20.022785,0.0,[['CHINAUNICOMIndustrialInternetBackbone']]
5410,47,37445,0.0012551742555748431,0.0,20.022785,0.0,[['BouyguesTelecomSA']]
5432,31,37445,0.0008278808919748965,0.0,20.022785,0.0,[['ProximusNV']]
5606,30,37445,0.0008011750567498998,0.0,20.022785,0.0,[['GTSTelecomSRL']]
6233,3,37445,8.011750567498999e-05,0.0,20.022785,0.0,[['xTom']]
6369,1,4357,0.00022951572182694515,1.5e-05,1387.545518,1.0810456165518025e-08,[['NetrunnerInc']]
6697,33,37445,0.0008812925624248899,0.0,20.022785,0.0,[['RepublicanUnitaryTelecommunicationEnterpriseBeltelecom']]
6718,2,37445,5.341167044999332e-05,0.0,20.022785,0.0,[['NAVCOMMUNICATIONSSRL']]
6724,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['StratoAG']]
6762,93,41802,0.0022247739342615186,0.0,1407.568303,0.0,[['TELECOMITALIASPARKLES.p.A.']]
6805,101,37445,0.0026972893577246627,0.0,20.022785,0.0,[['TelefonicaGermanyGmbH&Co.OHG']]
6939,591,41802,0.014138079517726424,0.062501,1407.568303,4.440352902718071e-05,[['HurricaneElectricLLC']]
7018,7,4357,0.001606610052788616,7.0,1387.545518,0.005044879543908412,"[['AT&TServices', 'Inc.']]"
7679,13,37445,0.0003471758579249566,0.0,20.022785,0.0,"[['QTnet', 'Inc.']]"
7922,58,37445,0.0015489384430498064,0.0,20.022785,0.0,"[['ComcastCableCommunications', 'LLC']]"
8100,8,37445,0.00021364668179997328,2e-06,20.022785,9.988620464136233e-08,[['QuadraNetEnterprisesLLC']]
8283,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['NetwerkverenigingColoclue']]
8342,8,37445,0.00021364668179997328,0.0,20.022785,0.0,[['JSCRTComm.RU']]
8422,60,37445,0.0016023501134997996,0.0,20.022785,0.0,[['NetCologneGesellschaftfurTelekommunikationmbH']]
8560,3,37445,8.011750567498999e-05,0.0,20.022785,0.0,[['IONOSSE']]
8657,13,37445,0.0003471758579249566,0.0,20.022785,0.0,[['MEO-SERVICOSDECOMUNICACOESEMULTIMEDIAS.A.']]
8697,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['JordanTelecommunicationsPSC']]
8781,11,37445,0.0002937641874749633,0.0,20.022785,0.0,[['OoredooQ.S.C.']]
8888,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['xTomPtyLtd']]
8943,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['JumpNetworksLtd']]
9002,58,37445,0.0015489384430498064,0.0,20.022785,0.0,[['RETNLimited']]
9009,278,41802,0.0066503995024161525,0.002166,1407.568303,1.5388240807806824e-06,[['M247EuropeSRL']]
9121,2,37445,5.341167044999332e-05,0.0,20.022785,0.0,[['TurkTelekomunikasyonAnonimSirketi']]
9299,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['PhilippineLongDistanceTelephoneCo.']]
9312,1,37445,2.670583522499666e-05,0.0,20.022785,0.0,[['xTomHongKongLimited']]
