sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
"Law, Business, and Consulting Services",104,5032,0.02067100000000001,1068.0003960000004,2579.9431161284447,0.41396499999999997,"[397165, 208163, 208906, 204394, 211918, 47596, 209242, 61178, 200081, 203843, 205398, 201924, 49121, 15967, 210015]"
Internet Service Provider (ISP),868,5032,0.172514,844.4416930000001,2579.9431161284447,0.32733299999999993,"[204790, 22773, 396356, 44812, 32489, 213220, 210107, 35574, 212238, 34534, 3549, 25003, 35761, 21140, 52031, 204760, 25415, 25424, 208091, 29075, 200899, 50782, 30823, 31543, 197890, 396319, 40970, 57795, 44050, 213222, 3339, 8309, 197204, 12552, 202421, 8769, 30633, 20473, 62240, 200373, 30873, 209368, 51659, 7018, 208626, 207990, 199669, 206873, 62068, 198571, 3175, 211083, 49392, 56534, 212521, 1239, 50902, 202503, 150249, 49981, 50113, 58291, 196968, 6663, 266732, 8245, 12306, 12630, 55286, 15317, 198722, 41114, 196752, 5511, 25145, 150445, 945, 1764, 396362, 396113, 60117, 49544, 47447, 200925, 35434, 35665, 36992, 37009, 206150, 39384, 39824, 41108, 43317, 64080, 30721, 51088, 50495, 29551, 8772, 6939, 25198, 45609, 3320, 174, 58057, 53356, 28573, 202528, 38732, 36791, 33480, 59795, 9009, 15133, 40509, 136620, 51847, 16724, 32931, 200198, 203314, 263110, 20253, 20446, 41378, 46562, 42831, 208972, 56758, 42675, 52048, 44016, 197433, 9902, 205726, 14153, 209626, 210895, 211400, 9121, 62874, 133612, 3356, 140810, 41155, 59711, 39216, 211759, 49673, 201029, 200393, 206499, 50994, 51430, 400797, 63213, 52041, 394923, 6369, 133480, 199285, 135330, 213327, 51972, 43357, 139693, 30081, 205876, 55081, 150698, 47720, 209561, 209225, 209181, 6762, 4788, 4761, 4657, 58453, 7713]"
None,488,5032,0.09698600000000004,368.6619250000001,2579.9431161284447,0.142909,"[204916, 197706, 60781, 400842, 204591, 208016, 205094, 206028, 57743, 207538, 56708, 198231, 210695, 61317, 62217, 212477, 48108, 209641, 29182, 42692, 206075, 203498, 210852, 34939, 205544, 204318, 271991, 42474, 196733, 209650, 20618, 199614, 135605, 137409, 61161, 141444, 147057, 5420, 209146, 21378, 202235, 131910, 209041, 51402, 28753, 210842, 202685, 207252, 151814, 399558, 60539, 199186, 197730, 200021, 202911, 198304, 48582, 208078, 211480, 216157, 216398, 64475, 151407, 141173, 201217, 216340, 205651, 206981, 398668, 211691, 210476, 1921, 949, 50069, 212149, 207021, 208685, 208753, 210025, 34775, 37963, 197606, 33760, 38008, 211381, 215972, 197919, 201572, 201178, 48254, 40138, 60557, 200800, 211680, 61323, 211051, 54197, 399358, 58339, 199052, 216452, 216435, 151464, 199684, 208779, 42198, 139589, 208333, 35487, 141039, 140731, 138190, 137502, 202662, 202888, 209306, 23344]"
Hosting and Cloud Provider,1514,5032,0.30087600000000003,77.34854100000003,2579.9431161284447,0.029982,"[16509, 35829, 212786, 211501, 49542, 204490, 58061, 43260, 53667, 13335, 202990, 50867, 40676, 8666, 13213, 211664, 206368, 203339, 24239]"
Other,93,5032,0.018486000000000006,54.252132999999986,2579.9431161284447,0.021032000000000002,"[42275, 39913, 56722, 211027, 56849, 133375, 197634, 199925, 400519, 46997, 210152, 205987, 205232, 63399, 60310, 205212, 204720, 205157, 211891, 201633, 210864, 33932, 208471, 208421, 207487, 205989, 30811, 210344]"
Software Development,471,5032,0.093602,52.64039399999999,2579.9431161284447,0.020405,"[35048, 59504, 49581, 51837, 209097, 210499, 54113, 60703, 150347, 207729, 206548, 34762, 200128, 36492, 200866, 199974, 47583, 49548, 198412, 204915, 200299, 210937, 201958, 8075, 25923]"
"Banks, Credit Card Companies, Mortgage Providers",4,5032,0.0007949999999999999,19.0,2579.9431161284447,0.007365,"[57574, 60389]"
Online Informational Content,7,5032,0.001391,17.007859,2579.9431161284447,0.006594000000000001,"[208354, 208985, 61112, 199465, 206843]"
"Investment, Portfolio Management, Pensions and Funds",18,5032,0.003577,17.000015,2579.9431161284447,0.00659,"[209968, 51126, 62075, 50395, 201836]"
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",3,5032,0.0005970000000000001,17.000015,2579.9431161284447,0.00659,"[35346, 49779, 48043]"
Radio and Television Providers,3,5032,0.0005970000000000001,16.125,2579.9431161284447,0.0062499999999999995,"[206430, 51579, 6204]"
Computer and Network Security,1360,5032,0.270271,16.024582000000002,2579.9431161284447,0.0062120000000000005,"[201984, 36183, 8100, 19551, 20546, 16625]"
"Metal, Glass, Wood, and Paper Manufacturing",3,5032,0.000596,3.0,2579.9431161284447,0.001163,[44477]
Chemical and Pharmaceutical Manufacturing,6,5032,0.001193,2.125259,2579.9431161284447,0.000824,"[205432, 212085, 203635]"
"Colleges, Universities, and Professional Schools",2,5032,0.000398,2.0,2579.9431161284447,0.000776,"[4538, 46019]"
Buildings (Residential or Commercial),23,5032,0.004571,1.0813599999999997,2579.9431161284447,0.00042,"[52042, 49825, 59538, 151338, 52112, 211358]"
Machinery,2,5032,0.000398,1.0625,2579.9431161284447,0.000412,"[200635, 59584]"
Real Estate (Residential and/or Commercial),7,5032,0.0013909999999999999,1.000092,2579.9431161284447,0.000388,"[203299, 39900, 50007, 208699]"
Electronics and Computer Components,2,5032,0.000398,1.000015,2579.9431161284447,0.000388,"[51259, 23145]"
Elementary and Secondary Schools,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[56434]
Music and Video Industry,2,5032,0.000397,0.125,2579.9431161284447,4.8e-05,[210916]
Online Music and Video Streaming Services,28,5032,0.005565,0.039335999999999996,2579.9431161284447,1.5e-05,"[33905, 20940, 34164]"
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13,5032,0.002583,0.006836,2579.9431161284447,3e-06,[270410]
"Clothing, Fashion, Luggage",5,5032,0.000994,7.6e-05,2579.9431161284447,0.0,[204755]
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",2,5032,0.000397,3.1e-05,2579.9431161284447,0.0,[131662]
"Print Media (Newspapers, Magazines, Books)",2,5032,0.000397,3.1e-05,2579.9431161284447,0.0,[213204]
Insurance Carriers and Agencies,1,5032,0.000199,1.5e-05,2579.9431161284447,0.0,[207713]
