sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
"Law, Business, and Consulting Services",90,4567,0.019707000000000002,1004.000244,1399.8865060210228,0.7172,"[397165, 47596, 209242, 200081, 61178, 15967]"
Internet Service Provider (ISP),668,4567,0.146274,198.221447,1399.8865060210228,0.141592,"[396356, 44812, 210107, 396319, 30633, 20473, 62240, 200373, 51659, 208626, 199669, 207990, 213220, 206873, 7018, 198571, 3175, 49392, 212521, 56534, 50902, 1239, 22773, 50113, 266732, 36992, 15317, 49981, 64080, 396113, 396362, 43317, 30721, 196968, 41108, 47447, 150445, 25145, 8772, 6939, 45609, 174, 53356, 28573, 33480, 38732, 36791, 58057, 202528, 9009, 15133, 40509, 51847, 136620, 16724, 32931, 203314, 263110, 20253, 20446, 41378, 212238, 46562, 56758, 9902, 14153, 197433, 59711, 133612, 140810, 62874, 211759, 133480, 63213, 52041, 51430, 47720, 394923, 6369, 55081, 43357, 201029, 200393, 139693, 209181, 30081, 400797, 7713, 6762, 4788, 4761, 4657, 58453]"
None,395,4567,0.086496,124.41818200000003,1399.8865060210228,0.08887500000000001,"[204916, 198231, 210695, 61317, 60781, 62217, 29182, 212477, 209641, 48108, 42692, 210852, 131910, 271991, 135605, 141444, 199614, 202235, 196733, 28753, 147057, 209146, 210842, 151814, 399558, 199186, 197730, 200021, 151407, 202911, 141173, 216157, 201217, 398668, 206981, 1921, 949, 60539, 50069, 207021, 208685, 205544, 33760, 201572, 37963, 197919, 201178, 48254, 197606, 38008, 40138, 211051, 216435, 216452, 61323, 54197, 399358, 137502, 58339, 202662, 202888, 151464, 141039, 138190, 140731]"
Software Development,452,4567,0.09897199999999998,27.640028,1399.8865060210228,0.019743,"[59504, 49581, 51837, 210499, 54113, 60703, 150347, 36492, 200866, 199974, 47583, 198412, 210937, 25923]"
"Investment, Portfolio Management, Pensions and Funds",16,4567,0.003504,15.000015,1399.8865060210228,0.010715,"[209968, 51126, 201836]"
Hosting and Cloud Provider,1502,4567,0.328883,13.34842,1399.8865060210228,0.009534999999999998,"[49542, 204490, 58061, 43260, 53667, 16509, 13335, 202990, 50867, 40676, 13213, 206368]"
Other,72,4567,0.015766000000000002,6.177474000000001,1399.8865060210228,0.004412,"[211027, 56849, 133375, 199925, 400519, 46997, 205987, 60310, 205212, 205157, 201633, 205989, 30811, 207487]"
"Banks, Credit Card Companies, Mortgage Providers",3,4567,0.000657,3.0,1399.8865060210228,0.002143,[60389]
"Metal, Glass, Wood, and Paper Manufacturing",3,4567,0.000657,3.0,1399.8865060210228,0.002143,[44477]
"Colleges, Universities, and Professional Schools",2,4567,0.000438,2.0,1399.8865060210228,0.001428,"[4538, 46019]"
Buildings (Residential or Commercial),15,4567,0.003284,1.006851,1399.8865060210228,0.000719,"[52042, 151338]"
Electronics and Computer Components,2,4567,0.000438,1.000015,1399.8865060210228,0.000714,"[51259, 23145]"
Elementary and Secondary Schools,1,4567,0.000219,1.0,1399.8865060210228,0.000714,[56434]
Online Music and Video Streaming Services,10,4567,0.00219,0.039062,1399.8865060210228,2.8e-05,[33905]
Computer and Network Security,1311,4567,0.28706,0.019958,1399.8865060210228,1.4e-05,"[36183, 19551, 16625]"
Online Informational Content,5,4567,0.001095,0.007859,1399.8865060210228,6e-06,"[61112, 199465, 206843]"
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13,4567,0.002847,0.006836,1399.8865060210228,5e-06,[270410]
Real Estate (Residential and/or Commercial),3,4567,0.000657,4.6e-05,1399.8865060210228,0.0,[39900]
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",2,4567,0.000438,3.1e-05,1399.8865060210228,0.0,[131662]
Insurance Carriers and Agencies,1,4567,0.000219,1.5e-05,1399.8865060210228,0.0,[207713]
Chemical and Pharmaceutical Manufacturing,1,4567,0.000219,1.5e-05,1399.8865060210228,0.0,[203635]
