sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
None,2427,27900,0.08699799999999996,54.09025200000001,90.33271710436489,0.598791,"[209641, 29182, 197992, 29014, 204916, 210644, 60781, 197619, 41405, 201217, 397031, 56630, 61317, 62217, 216435, 51115, 12876, 202888, 200827, 41717, 62282, 32934, 55990, 58777, 44901, 48581, 51468, 200241, 198068, 197730, 197695, 210842, 149042, 208058, 205544, 204055, 203961, 197598, 134756, 61323, 61098, 140903, 140716, 140061, 138915, 138421, 137702, 137697, 38, 8888, 7679, 6724, 11917, 11426, 9806, 9605, 9354, 2497, 513, 2635, 4802, 3389, 29066, 29222, 29097, 27823, 33363, 33760, 38631, 38365, 35492, 21100, 17511]"
Internet Service Provider (ISP),5054,27900,0.18117,23.436372000000002,90.33271710436489,0.25944,"[44812, 213220, 57043, 48261, 30633, 64080, 64267, 135981, 30721, 140810, 138652, 41378, 62874, 9009, 45609, 396356, 6939, 138997, 46841, 46562, 30860, 268972, 212238, 51430, 835, 56655, 33387, 40509, 6315, 55081, 5410, 577, 133480, 397373, 12167, 11990, 11878, 26527, 21859, 134094, 9498, 56040, 56046, 56041, 59605, 58057, 58453, 59437, 58541, 58542, 58487, 55836, 55818, 44974, 397423, 45430, 45474, 45727, 45758, 45899, 47447, 49544, 49981, 50113, 53356, 55410, 55644, 51873, 63835, 60294, 199244, 200222, 199752, 199274, 198571, 200738, 198066, 211786, 197637, 205766, 209453, 207996, 207375, 147049, 60893, 264642, 133798, 133159, 131445, 262459, 63410, 266768, 134238, 136959, 136188, 134771, 38255, 44066, 7713, 8943, 8781, 8697, 8560, 8422, 8342, 7922, 12360, 7545, 7470, 6805, 6762, 6718, 6697, 8966, 9002, 9121, 9299, 10474, 9930, 9929, 9924, 9829, 9824, 9808, 9534, 9500, 9381, 9312, 5606, 5432, 4837, 2860, 2527, 2519, 1955, 1930, 1680, 1653, 1547, 1299, 1257, 906, 852, 812, 701, 680, 3214, 4835, 3292, 4812, 4811, 4808, 4788, 4739, 4657, 4651, 4637, 4230, 4134, 3741, 3462, 3320, 3303, 12306, 12849, 43766, 30798, 30781, 30764, 29789, 29413, 29075, 28890, 12859, 28573, 28075, 27947, 25454, 34665, 42846, 42487, 41357, 40630, 38266, 174, 38040, 35826, 24961, 24547, 17378, 15943, 15802, 15600, 15169, 15133, 15108, 14522, 14080, 13999, 13285, 13030, 17185, 24444, 17501, 24400, 24309, 24203, 23884, 23724, 23693, 22822, 22697, 21575, 20853, 20473, 18001, 17639, 398565]"
Phone Provider,168,27900,0.006022,9.672119,90.33271710436489,0.107072,[395839]
Other,27,27900,0.000969,2.0002440000000004,90.33271710436489,0.022142000000000002,"[199925, 46997, 205212, 45090, 200351, 209114, 25148, 40994]"
Hosting and Cloud Provider,6991,27900,0.250577,1.000339,90.33271710436489,0.011074,"[53667, 13213, 13335, 16509, 262287, 40676, 58810, 48635, 49542, 54455, 395747, 55303, 200487, 202505, 204490, 142055, 213192, 135967, 6233, 35470, 16276, 14340]"
Software Development,2798,27900,0.10028699999999997,0.12908599999999998,90.33271710436489,0.001429,"[36492, 54113, 45027, 59504, 58466, 47583, 205125, 63949, 209622, 25923, 25532, 39122, 36351, 34762, 17428]"
Online Music and Video Streaming Services,10005,27900,0.358602,0.004126,90.33271710436489,4.599999999999999e-05,"[396982, 60068, 20940, 43614, 25019, 21342]"
Online Informational Content,15,27900,0.000538,9.8e-05,90.33271710436489,1e-06,[149485]
Computer and Network Security,294,27900,0.010538,3.6e-05,90.33271710436489,0.0,"[19551, 8100, 11019, 33438, 16625]"
"Military, Defense, National Security, and International Affairs",37,27900,0.001326,1.5e-05,90.33271710436489,0.0,"[19969, 397232, 397226, 397224, 62571]"
"Law, Business, and Consulting Services",43,27900,0.001542,1.5e-05,90.33271710436489,0.0,"[205100, 210083, 1221, 15967]"
"Colleges, Universities, and Professional Schools",14,27900,0.000502,8e-06,90.33271710436489,0.0,"[1659, 204679, 4538, 24357]"
"Metal, Glass, Wood, and Paper Manufacturing",1,27900,3.6e-05,0.0,90.33271710436489,0.0,[44477]
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6,27900,0.00021500000000000002,0.0,90.33271710436489,0.0,"[210079, 211309, 16345]"
"Law Enforcement, Public Safety, and Justice",3,27900,0.000108,0.0,90.33271710436489,0.0,[15130]
"Investment, Portfolio Management, Pensions and Funds",1,27900,3.6e-05,0.0,90.33271710436489,0.0,[134762]
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4,27900,0.000143,0.0,90.33271710436489,0.0,[208492]
"Government and Regulatory Agencies, Administrations, Departments, and Services",5,27900,0.000179,0.0,90.33271710436489,0.0,[134768]
"Recreation, Sports, and Performing Arts",6,27900,0.000215,0.0,90.33271710436489,0.0,"[131486, 137753]"
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",1,27900,3.6e-05,0.0,90.33271710436489,0.0,[131662]
