category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Computer and Information Technology,10497,37989,0.27630099999999996,17.023371,31.086095038412317,0.547616,"[29182, 51659, 395839, 57043, 62240, 44812, 64267, 30721, 36492, 138652, 41378, 16509, 62874, 36183, 140810, 13213, 45609, 62217, 9009, 138997, 61317, 30633, 262287, 40509, 268972, 46841, 55081, 396356, 54113, 133480, 62282, 12167, 46562, 40676, 11990, 8100, 6939, 26527, 45027, 9498, 134094, 11878, 397373, 55410, 205544, 212238, 54455, 212772, 53667, 53356, 213192, 51873, 55430, 55990, 55644, 55818, 58777, 58542, 58541, 58487, 58466, 58453, 58057, 211786, 56655, 56630, 56046, 56041, 56040, 55836, 213220, 51115, 51468, 44974, 45727, 45474, 45090, 44901, 45899, 44066, 43766, 397423, 42846, 45758, 395747, 51430, 49981, 59504, 50113, 264642, 266768, 49544, 49542, 48635, 48261, 47583, 47447, 59437, 61098, 59605, 147049, 197695, 207996, 142055, 198066, 140903, 140716, 140061, 138915, 207375, 198068, 200827, 204957, 205766, 206774, 202505, 200738, 199244, 200487, 200222, 199752, 199274, 138421, 63835, 63410, 63023, 209622, 137702, 61323, 210107, 205125, 60893, 60781, 60294, 63949, 64080, 209453, 131445, 133798, 42487, 134238, 134756, 134771, 135967, 135981, 136188, 136959, 137697, 39122, 41405, 8283, 8943, 8888, 8781, 8697, 8657, 8560, 8422, 8342, 7922, 5432, 6805, 6762, 6724, 6718, 6697, 6315, 6233, 9002, 9121, 9299, 9312, 12360, 12306, 11019, 10474, 9929, 9924, 9829, 9824, 9808, 9806, 9534, 9500, 9381, 5606, 5410, 12859, 1299, 1955, 1930, 1921, 1680, 1653, 1547, 1257, 4837, 852, 835, 812, 701, 680, 577, 513, 2519, 2860, 3214, 4835, 4812, 4811, 4808, 4788, 4657, 4651, 4637, 4230, 4134, 3741, 3462, 3320, 3303, 3292, 12849, 12874, 41357, 29014, 30781, 30764, 29789, 29413, 29222, 29097, 29075, 29066, 28890, 24961, 28573, 28075, 27947, 27823, 25923, 25532, 25454, 25148, 30798, 30860, 41000, 40630, 174, 38365, 38266, 38255, 36351, 35826, 35470, 34762, 34665, 33438, 33387, 24547, 12876, 15133, 16625, 16276, 15943, 15802, 15600, 15169, 24444, 15108, 14522, 14340, 14080, 13999, 13335, 13285, 13030, 17185, 17378, 17428, 17501, 24400, 24309, 24203, 23724, 22822, 22697, 21859, 21575, 21100, 20853, 20473, 19551, 18001, 398565]"
None,194,37989,0.005107,7.0625269999999984,31.086095038412317,0.227192,"[204916, 202888, 197992, 41717, 140824, 149151, 210644, 216271, 216435, 197619, 197598, 149042, 210403, 7679, 9605, 9354, 2497, 38631, 33760, 17511]"
Finance and Insurance,7,37989,0.00018400000000000003,6.0,31.086095038412317,0.193013,"[209968, 51126, 134762]"
Construction and Real Estate,2010,37989,0.052909,1.0,31.086095038412317,0.032169,"[52042, 199925, 210079, 16345]"
"Media, Publishing, and Broadcasting",23072,37989,0.6073339999999999,0.00010200000000000001,31.086095038412317,4e-06,"[60068, 20940, 396982, 43614, 149485, 11426, 33363, 25019, 21342]"
Community Groups and Nonprofits,18,37989,0.000474,9.2e-05,31.086095038412317,3e-06,"[205212, 208492, 35492]"
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",41,37989,0.001079,0.0,31.086095038412317,0.0,[208058]
Education and Research,211,37989,0.005553,0.0,31.086095038412317,0.0,"[204679, 200351, 209641, 1741, 1659, 4538, 24357]"
"Freight, Shipment, and Postal Services",13,37989,0.000342,0.0,31.086095038412317,0.0,[3389]
Government and Public Administration,43,37989,0.0011320000000000002,0.0,31.086095038412317,0.0,"[397220, 397226, 397232, 62571, 134768, 15130, 19969]"
Health Care Services,74,37989,0.001948,0.0,31.086095038412317,0.0,"[46997, 38]"
"Museums, Libraries, and Entertainment",6,37989,0.00015800000000000002,0.0,31.086095038412317,0.0,"[137753, 131486]"
Other,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[397031]
"Retail Stores, Wholesale, and E-commerce Sites",1756,37989,0.046223,0.0,31.086095038412317,0.0,"[48581, 209114, 11917, 32934]"
Service,46,37989,0.00121,0.0,31.086095038412317,0.0,"[205100, 210083, 1221, 40994, 15967]"
