country,country_alias_num,country_all_num,country_ratio,sta_country_alias_num,sta_country_all_num,sat_country_ratio,as
ES,4,37989,0.00010499999999999999,0.0,31.086095038412317,0.0,"[198066, 200738]"
FI,2,37989,5.2e-05,0.0,31.086095038412317,0.0,"[1741, 30798]"
FR,67,37989,0.001765,0.0,31.086095038412317,0.0,"[210403, 209453, 42487, 41405, 5410, 30781, 29075, 12876, 16276]"
HR,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[199244]
HU,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[1955]
ID,181,37989,0.004764,0.0,31.086095038412317,0.0,"[55818, 58487, 45727, 133798, 24203]"
IE,13,37989,0.000342,0.0,31.086095038412317,0.0,[39122]
IL,6,37989,0.00015800000000000002,0.0,31.086095038412317,0.0,"[1680, 12849]"
IT,92,37989,0.002421,0.0,31.086095038412317,0.0,"[6762, 12874]"
ZA,19,37989,0.0005,0.0,31.086095038412317,0.0,"[10474, 3741]"
