category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",42.0,26501.0,0.0015848458548734011,0.0,89.32872134748428,0.0
Community Groups and Nonprofits,15.0,30903.0,0.0004853897679836909,0.00061,1476.8259447843168,4.130479980760952e-07
Computer and Information Technology,18498.0,30903.0,0.5985826618774877,305.561551,1476.8259447843168,0.20690424086815848
Construction and Real Estate,36.0,30903.0,0.0011649354431608582,3.104553,1476.8259447843168,0.0021021793468379273
Education and Research,87.0,30903.0,0.002815260654305407,35.014915,1476.8259447843168,0.02370957466156498
Finance and Insurance,20.0,30903.0,0.0006471863573115879,18.000015,1476.8259447843168,0.012188311739491288
"Freight, Shipment, and Postal Services",17.0,30903.0,0.0005501084037148497,2.000046,1476.8259447843168,0.0013542868792788558
Government and Public Administration,45.0,26501.0,0.001698049130221501,1.5e-05,89.32872134748428,1.679191168722851e-07
Health Care Services,13.0,30903.0,0.0004206711322525321,0.00061,1476.8259447843168,4.130479980760952e-07
Manufacturing,6.0,4402.0,0.0013630168105406633,4.000030000000001,1387.4972234368324,0.0028829102735729597
"Media, Publishing, and Broadcasting",9660.0,30903.0,0.31259101058149696,1.1763849999999996,1476.8259447843168,0.0007965630642897493
"Museums, Libraries, and Entertainment",6.0,26501.0,0.00022640655069620014,0.0,89.32872134748428,0.0
None,351.0,30903.0,0.011358120570818368,101.95786200000002,1476.8259447843168,0.06903850948724392
Other,39.0,30903.0,0.0012620133967575964,1.0005809999999997,1476.8259447843168,0.0006775212769884874
"Retail Stores, Wholesale, and E-commerce Sites",1890.0,30903.0,0.06115911076594505,0.003953,1476.8259447843168,2.6766864531062366e-06
Service,177.0,30903.0,0.005727599262207552,1004.0048059999999,1476.8259447843168,0.6798396314378333
Travel and Accommodation,1.0,4402.0,0.00022716946842344388,1.0,1387.4972234368324,0.0007207221629770175
