category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",42.0,27196.0,0.0015443447565818503,0.0,87.33237598392694,0.0
Community Groups and Nonprofits,16.0,31725.0,0.0005043341213553979,0.00061,1469.0856572792266,4.1522425665071915e-07
Computer and Information Technology,18930.0,31725.0,0.5966903073286052,297.567295,1469.0856572792266,0.20255271945891845
Construction and Real Estate,36.0,31725.0,0.0011347517730496454,3.104553,1469.0856572792266,0.0021132552650127215
Education and Research,88.0,31725.0,0.0027738376674546887,36.014915,1469.0856572792266,0.024515190670842353
Finance and Insurance,20.0,31725.0,0.0006304176516942475,18.000015,1469.0856572792266,0.012252529259142287
"Freight, Shipment, and Postal Services",18.0,31725.0,0.0005673758865248227,2.000046,1469.0856572792266,0.0013614223174053185
Government and Public Administration,45.0,27196.0,0.0016546550963376968,1.5e-05,87.33237598392694,1.7175760800050454e-07
Health Care Services,11.0,31725.0,0.0003467297084318361,0.00061,1469.0856572792266,4.1522425665071915e-07
Manufacturing,6.0,4529.0,0.0013247957606535659,4.000030000000001,1381.7532812952995,0.0028948945185425902
"Media, Publishing, and Broadcasting",9956.0,31725.0,0.31382190701339635,1.1763849999999996,1469.0856572792266,0.0008007599789509116
"Museums, Libraries, and Entertainment",6.0,27196.0,0.00022062067951169288,0.0,87.33237598392694,0.0
None,356.0,31725.0,0.011221434200157605,101.21179900000001,1469.0856572792266,0.06889441640009346
Other,38.0,31725.0,0.0011977935382190702,1.0005659999999998,1469.0856572792266,0.0006810807763606285
"Retail Stores, Wholesale, and E-commerce Sites",1977.0,31725.0,0.06231678486997636,0.003968,1469.0856572792266,2.700999754737793e-06
Service,179.0,31725.0,0.005642237982663514,1004.004836,1469.0856572792266,0.6834215765603724
Travel and Accommodation,1.0,4529.0,0.00022079929344226098,1.0,1381.7532812952995,0.0007237182017491344
