sub_category,number of aliased prefix,ratio of aliased prefix
Hosting and Cloud Provider,1505,0.34097
Computer and Network Security,1215,0.27526
Internet Service Provider (ISP),646,0.14651
Software Development,437,0.09902
None,378,0.08572
"Law, Business, and Consulting Services",90,0.0204
Other,69,0.01565
"Investment, Portfolio Management, Pensions and Funds",16,0.00363
Buildings (Residential or Commercial),15,0.0034000000000000002
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13,0.00295
Online Music and Video Streaming Services,10,0.00227
Online Informational Content,5,0.00113
"Metal, Glass, Wood, and Paper Manufacturing",3,0.00068
Real Estate (Residential and/or Commercial),3,0.00068
"Banks, Credit Card Companies, Mortgage Providers",3,0.00068
Electronics and Computer Components,2,0.00046
Elementary and Secondary Schools,1,0.00023
"Colleges, Universities, and Professional Schools",1,0.00023
Chemical and Pharmaceutical Manufacturing,1,0.00023
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",1,0.00023
