category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Computer and Information Technology,14598,26421,0.5525420000000001,44.323730999999995,88.3287388807959,0.5018,"[395839, 44812, 29182, 213220, 57043, 29014, 48261, 53667, 60781, 64267, 135981, 30721, 36492, 140810, 41405, 138652, 41378, 62874, 13213, 9009, 13335, 45609, 62217, 56630, 61317, 396356, 262287, 6939, 46841, 138997, 46562, 16509, 30633, 12876, 51115, 51430, 33387, 30860, 56655, 45027, 6315, 268972, 212238, 835, 200827, 55081, 133480, 5410, 577, 8100, 397373, 62282, 40676, 12167, 11990, 134094, 11878, 26527, 21859, 9498, 54455, 55410, 55430, 211786, 55644, 55818, 55836, 55990, 56041, 56046, 209622, 209453, 58057, 58453, 58466, 56040, 262459, 213192, 53356, 397423, 45090, 45474, 45727, 45758, 45899, 47447, 47583, 395747, 48635, 49542, 49544, 49981, 50113, 266768, 58541, 51468, 51873, 58487, 60294, 58542, 134771, 135967, 136188, 136959, 137697, 137702, 138421, 204490, 138915, 140061, 140716, 202505, 140903, 147049, 200738, 197695, 200487, 198068, 199244, 199274, 199752, 44974, 58777, 59437, 59504, 59605, 60893, 207996, 61098, 207375, 61323, 205766, 205544, 63410, 205125, 63835, 63949, 131445, 133798, 134238, 134756, 38266, 44901, 8342, 9002, 8943, 8888, 8781, 8697, 8560, 8422, 7922, 12849, 6805, 6762, 6724, 6718, 6697, 6233, 9121, 9299, 9312, 12306, 11019, 10474, 9929, 9924, 9829, 9824, 9808, 9806, 9534, 9500, 9381, 5606, 5432, 4837, 2860, 2519, 1955, 1930, 1680, 1547, 1299, 1257, 906, 852, 812, 701, 680, 513, 2527, 3214, 4835, 3292, 4812, 4811, 4808, 4788, 4657, 4651, 4637, 4230, 4134, 3741, 3462, 3320, 3303, 12360, 12859, 44066, 29075, 30798, 30781, 29789, 29413, 29222, 29097, 29066, 12874, 28890, 28573, 28075, 27947, 27823, 25923, 25532, 33438, 34665, 34762, 42846, 42487, 41357, 40630, 39122, 38365, 174, 38255, 36351, 35826, 35470, 25148, 24961, 24547, 17378, 16625, 16276, 15943, 15802, 15600, 15169, 15133, 15108, 14522, 14080, 13999, 13030, 17185, 17428, 24444, 17501, 24400, 24309, 24203, 23724, 22822, 22697, 21575, 21100, 20853, 20473, 19551, 18001, 398565]"
Education and Research,65,26421,0.00246,30.000008,88.3287388807959,0.33964,"[209641, 1659, 200351, 204679, 4538, 24357]"
None,74,26421,0.002804,12.000058000000001,88.3287388807959,0.135856,"[197992, 204916, 210644, 197619, 216435, 202888, 41717, 149151, 140824, 200241, 216271, 149042, 197598, 197730, 7679, 9354, 9605, 2497, 33760, 38631, 17511]"
Construction and Real Estate,8,26421,0.00030300000000000005,2.0,88.3287388807959,0.022643,"[199925, 211309, 210079, 16345]"
"Media, Publishing, and Broadcasting",9587,26421,0.362857,0.0042190000000000005,88.3287388807959,4.8e-05,"[396982, 60068, 149485, 20940, 11426, 33363, 43614, 21342]"
Other,29,26421,0.001098,0.000443,88.3287388807959,5e-06,[397031]
Community Groups and Nonprofits,14,26421,0.00053,0.000122,88.3287388807959,1e-06,"[205212, 208492, 35492]"
Health Care Services,10,26421,0.000379,0.000122,88.3287388807959,1e-06,"[46997, 38]"
Government and Public Administration,45,26421,0.0017029999999999999,1.5e-05,88.3287388807959,0.0,"[19969, 397232, 397226, 397224, 134768, 62571, 15130]"
Service,45,26421,0.001704,1.5e-05,88.3287388807959,0.0,"[205100, 210083, 131662, 1221, 40994, 15967]"
"Retail Stores, Wholesale, and E-commerce Sites",1884,26421,0.071308,1e-06,88.3287388807959,0.0,"[32934, 48581, 209114, 11917]"
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",42,26421,0.00159,0.0,88.3287388807959,0.0,[208058]
Finance and Insurance,1,26421,3.8e-05,0.0,88.3287388807959,0.0,[134762]
"Freight, Shipment, and Postal Services",13,26421,0.000492,0.0,88.3287388807959,0.0,[3389]
"Museums, Libraries, and Entertainment",6,26421,0.00022700000000000002,0.0,88.3287388807959,0.0,"[137753, 131486]"
