sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
None,2318,26421,0.087744,54.086381,88.3287388807959,0.612329,"[209641, 29182, 197992, 29014, 204916, 210644, 197619, 60781, 41405, 397031, 62217, 56630, 61317, 216435, 12876, 51115, 202888, 200827, 41717, 62282, 149151, 140824, 32934, 200241, 55990, 48581, 51468, 216271, 137697, 137702, 138421, 138915, 140061, 140716, 140903, 149042, 197598, 197695, 197730, 198068, 58777, 208058, 61098, 61323, 205544, 134756, 38, 44901, 8888, 7679, 6724, 9354, 11917, 11426, 9806, 9605, 2497, 513, 3389, 33363, 29222, 29097, 29066, 27823, 33760, 38631, 38365, 35492, 21100, 17511]"
Internet Service Provider (ISP),4613,26421,0.17461300000000002,21.436350000000004,88.3287388807959,0.242685,"[44812, 213220, 57043, 48261, 64267, 135981, 30721, 140810, 138652, 41378, 62874, 9009, 45609, 396356, 6939, 46841, 138997, 46562, 30633, 51430, 33387, 30860, 56655, 6315, 268972, 212238, 835, 55081, 133480, 5410, 577, 397373, 12167, 11990, 134094, 11878, 26527, 21859, 9498, 55410, 55430, 211786, 55644, 55818, 55836, 56041, 56046, 209453, 58057, 58453, 56040, 262459, 53356, 397423, 45474, 45727, 45758, 45899, 47447, 49544, 49981, 50113, 266768, 58541, 51873, 58487, 60294, 58542, 134771, 136188, 136959, 147049, 200738, 199244, 199274, 199752, 44974, 59437, 59605, 60893, 207996, 207375, 205766, 63410, 63835, 131445, 133798, 134238, 38266, 8342, 9002, 8943, 8781, 8697, 8560, 8422, 7922, 12849, 6805, 6762, 6718, 6697, 9121, 9299, 9312, 12306, 10474, 9929, 9924, 9829, 9824, 9808, 9534, 9500, 9381, 5606, 5432, 4837, 2860, 2519, 1955, 1930, 1680, 1547, 1299, 1257, 906, 852, 812, 701, 680, 2527, 3214, 4835, 3292, 4812, 4811, 4808, 4788, 4657, 4651, 4637, 4230, 4134, 3741, 3462, 3320, 3303, 12360, 12859, 44066, 29075, 30798, 30781, 29789, 29413, 12874, 28890, 28573, 28075, 27947, 34665, 42846, 42487, 41357, 40630, 174, 38255, 35826, 24961, 24547, 17378, 15943, 15802, 15600, 15169, 15133, 15108, 14522, 14080, 13999, 13030, 17185, 24444, 17501, 24400, 24309, 24203, 23724, 22822, 22697, 21575, 20853, 20473, 18001, 398565]"
Phone Provider,168,26421,0.006359,9.672119,88.3287388807959,0.109501,[395839]
Other,27,26421,0.001023,2.0002440000000004,88.3287388807959,0.022645000000000002,"[199925, 205212, 46997, 45090, 200351, 209114, 40994, 25148]"
Hosting and Cloud Provider,6510,26421,0.246398,1.000307,88.3287388807959,0.011325,"[53667, 13213, 13335, 262287, 16509, 40676, 54455, 213192, 395747, 48635, 49542, 135967, 204490, 202505, 200487, 6233, 35470, 16276]"
Software Development,2791,26421,0.10563600000000002,0.129071,88.3287388807959,0.001461,"[36492, 45027, 209622, 58466, 47583, 59504, 205125, 63949, 25923, 25532, 34762, 39122, 36351, 17428]"
Online Music and Video Streaming Services,9569,26421,0.36217499999999997,0.0041210000000000005,88.3287388807959,4.7e-05,"[396982, 60068, 20940, 43614, 21342]"
Online Informational Content,15,26421,0.000568,9.8e-05,88.3287388807959,1e-06,[149485]
"Law, Business, and Consulting Services",43,26421,0.0016279999999999999,1.5e-05,88.3287388807959,0.0,"[205100, 210083, 1221, 15967]"
"Military, Defense, National Security, and International Affairs",37,26421,0.0014,1.5e-05,88.3287388807959,0.0,"[19969, 397232, 397226, 397224, 62571]"
"Colleges, Universities, and Professional Schools",14,26421,0.0005300000000000001,8e-06,88.3287388807959,0.0,"[1659, 204679, 4538, 24357]"
Computer and Network Security,290,26421,0.010977,5e-06,88.3287388807959,0.0,"[8100, 11019, 33438, 16625, 19551]"
"Recreation, Sports, and Performing Arts",6,26421,0.00022700000000000002,0.0,88.3287388807959,0.0,"[137753, 131486]"
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",1,26421,3.8e-05,0.0,88.3287388807959,0.0,[131662]
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6,26421,0.00022700000000000002,0.0,88.3287388807959,0.0,"[211309, 210079, 16345]"
"Investment, Portfolio Management, Pensions and Funds",1,26421,3.8e-05,0.0,88.3287388807959,0.0,[134762]
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4,26421,0.000151,0.0,88.3287388807959,0.0,[208492]
"Government and Regulatory Agencies, Administrations, Departments, and Services",5,26421,0.000189,0.0,88.3287388807959,0.0,[134768]
"Law Enforcement, Public Safety, and Justice",3,26421,0.000114,0.0,88.3287388807959,0.0,[15130]
