category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",42.0,26456.0,0.0015875415784699122,0.0,87.32849692482083,0.0
Community Groups and Nonprofits,16.0,30851.0,0.0005186217626657159,0.00061,1481.8841004886065,4.116381299987434e-07
Computer and Information Technology,18495.0,30851.0,0.5994943437814009,308.55716,1481.8841004886065,0.20821949563954606
Construction and Real Estate,37.0,30851.0,0.001199312826164468,4.104553000000001,1481.8841004886065,0.0027698205268864473
Education and Research,87.0,30851.0,0.00282000583449483,35.014915,1481.8841004886065,0.023628646119122874
Finance and Insurance,20.0,30851.0,0.0006482772033321448,18.000015,1481.8841004886065,0.012146709040244808
"Freight, Shipment, and Postal Services",18.0,30851.0,0.0005834494829989303,2.000046,1481.8841004886065,0.001349664254674536
Government and Public Administration,45.0,26456.0,0.0017009374055034774,1.5e-05,87.32849692482083,1.7176523733041195e-07
Health Care Services,13.0,30851.0,0.00042138018216589414,0.00061,1481.8841004886065,4.116381299987434e-07
Manufacturing,6.0,4395.0,0.0013651877133105802,4.000030000000001,1394.5556035637856,0.002868318760311835
"Media, Publishing, and Broadcasting",9598.0,30851.0,0.3111082298790963,1.1763839999999997,1481.8841004886065,0.0007938434588859699
"Museums, Libraries, and Entertainment",6.0,26456.0,0.00022679165406713032,0.0,87.32849692482083,0.0
None,357.0,30851.0,0.011571748079478784,103.02038100000001,1481.8841004886065,0.06951986391245588
Other,40.0,30851.0,0.0012965544066642896,1.0005969999999997,1481.8841004886065,0.0006752194720694304
"Retail Stores, Wholesale, and E-commerce Sites",1893.0,30851.0,0.06135943729538751,0.003968,1481.8841004886065,2.6776722948114985e-06
Service,177.0,30851.0,0.0057372532494894815,1004.0048059999999,1481.8841004886065,0.6775191161501495
Travel and Accommodation,1.0,4395.0,0.00022753128555176336,1.0,1394.5556035637856,0.0007170743120206186
