category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",42.0,26421.0,0.0015896446008856592,0.0,88.3287388807959,0.0
Community Groups and Nonprofits,16.0,30814.0,0.000519244499253586,0.00061,1481.880451393766,4.11639143647702e-07
Computer and Information Technology,18455.0,30814.0,0.5989160771078081,309.553511,1481.880451393766,0.20889236423144183
Construction and Real Estate,37.0,30814.0,0.0012007529045239176,4.104553000000001,1481.880451393766,0.002769827347502634
Education and Research,87.0,30814.0,0.002823391964691374,35.014915,1481.880451393766,0.02362870430409357
Finance and Insurance,20.0,30814.0,0.0006490556240669825,18.000015,1481.880451393766,0.01214673895122261
"Freight, Shipment, and Postal Services",18.0,30814.0,0.0005841500616602843,2.000046,1481.880451393766,0.0013496675781901836
Government and Public Administration,45.0,26421.0,0.0017031906438060634,1.5e-05,88.3287388807959,1.698201535543631e-07
Health Care Services,12.0,30814.0,0.00038943337444018953,0.00061,1481.880451393766,4.11639143647702e-07
Manufacturing,5.0,4393.0,0.0011381743683132257,3.00003,1393.55171251297,0.0021527941683556853
"Media, Publishing, and Broadcasting",9606.0,30814.0,0.31174141623937174,1.1763839999999997,1481.880451393766,0.0007938454137063249
"Museums, Libraries, and Entertainment",6.0,26421.0,0.00022709208584080845,0.0,88.3287388807959,0.0
None,357.0,30814.0,0.011585642889595639,103.02038100000001,1481.880451393766,0.06952003510344262
Other,40.0,30814.0,0.001298111248133965,1.0005969999999997,1481.880451393766,0.0006752211347810814
"Retail Stores, Wholesale, and E-commerce Sites",1889.0,30814.0,0.061303303693126504,0.003968,1481.880451393766,2.6776788885148883e-06
Service,178.0,30814.0,0.005776595054196145,1004.0048059999999,1481.880451393766,0.6775207845246184
Travel and Accommodation,1.0,4393.0,0.00022763487366264513,1.0,1393.55171251297,0.0007175908802097596
