country,number of aliased prefix,ratio of aliased prefix
US,13617,0.46453
NL,9744,0.33248
CY,976,0.03331
DE,822,0.02801
GB,463,0.01574
BR,374,0.012750000000000001
CA,304,0.01037
VN,272,0.00927
CN,242,0.00817
BE,239,0.008150000000000001
ID,236,0.00803
FR,230,0.00782
IN,228,0.00777
RO,134,0.00456
RU,123,0.00415
LT,123,0.00418
SE,101,0.00343
TH,88,0.00298
ES,84,0.00286
AU,83,0.00283
MD,79,0.0027
HK,73,0.00246
IT,65,0.00221
TR,64,0.00217
TW,54,0.00185
CH,46,0.00156
BY,35,0.00119
NZ,32,0.00109
PT,31,0.00106
DK,27,0.0009199999999999999
JP,26,0.00087
MY,24,0.00082
SA,20,0.00068
IL,20,0.00068
SG,19,0.00065
ZA,19,0.00065
FI,18,0.0006000000000000001
IE,14,0.00048
JO,13,0.00044
LV,12,0.00041
AT,11,0.00037
CZ,11,0.00037
NP,10,0.00034
MX,9,0.00031
UA,9,0.0003
BZ,9,0.00030000000000000003
EC,8,0.00027
NO,8,0.00026
PL,7,0.00022999999999999998
EE,5,0.00017
AR,5,0.00017
HU,4,0.00013
CW,4,0.00014
SC,4,0.00014
VG,3,9.999999999999999e-05
LB,3,0.0001
OM,3,0.0001
EU,2,7e-05
CO,2,6e-05
GR,2,7e-05
BG,2,6e-05
KG,1,3e-05
PA,1,3e-05
SK,1,3e-05
BH,1,3e-05
HR,1,3e-05
KH,1,3e-05
VU,1,3e-05
AE,1,3e-05
