category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",43.0,31215.0,0.0013775428479897486,16.0,2694.12819591252,0.00593884137520809
Community Groups and Nonprofits,24.0,31215.0,0.0007688611244593945,0.063675,2694.12819591252,2.3634732785398442e-05
Computer and Information Technology,18842.0,31215.0,0.6036200544609963,1291.751673,2694.12819591252,0.4794692676316669
Construction and Real Estate,54.0,31215.0,0.0017299375300336376,7.124221,2694.12819591252,0.0026443511525578974
Education and Research,95.0,31215.0,0.00304340861765177,54.019324,2694.12819591252,0.02005076227699821
Finance and Insurance,22.0,31215.0,0.0007047893640877783,35.000015,2694.12819591252,0.012991221075931486
"Freight, Shipment, and Postal Services",20.0,31215.0,0.0006407176037161621,2.000076,2694.12819591252,0.0007423833813975434
Government and Public Administration,46.0,31215.0,0.0014736504885471727,16.000015,2694.12819591252,0.00593884694287188
Health Care Services,12.0,31215.0,0.00038443056222969726,0.00061,2694.12819591252,2.2641832742980842e-07
Manufacturing,23.0,4894.0,0.00469963220269718,41.25035,2606.7994847893715,0.015824136164171835
"Media, Publishing, and Broadcasting",9499.0,31215.0,0.3043088258849912,2.368184,2694.12819591252,0.0008790168202066121
"Museums, Libraries, and Entertainment",7.0,31215.0,0.00022425116130065674,16.0,2694.12819591252,0.00593884137520809
None,388.0,31215.0,0.012429921512093545,137.47393300000002,2694.12819591252,0.05102724258206156
Other,44.0,31215.0,0.0014095787281755566,1.0045499999999996,2694.12819591252,0.00037286644396658026
"Retail Stores, Wholesale, and E-commerce Sites",1895.0,31215.0,0.06070799295210636,16.003998000000006,2694.12819591252,0.0059403253431967225
Service,200.0,31215.0,0.006407176037161621,1056.0675360000002,2694.12819591252,0.39198859861317875
Travel and Accommodation,1.0,4894.0,0.0002043318348998774,1.0,2606.7994847893715,0.0003836121672706252
