category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",42.0,26610.0,0.0015783540022547915,0.0,87.32849554013333,0.0
Community Groups and Nonprofits,18.0,31003.0,0.0005805889752604587,0.0006410000000000001,1481.9426775355253,4.3254034701665036e-07
Computer and Information Technology,18637.0,31003.0,0.6011353739960649,312.557098,1481.9426775355253,0.21091038320037
Construction and Real Estate,37.0,31003.0,0.001193432893590943,4.104553000000001,1481.9426775355253,0.0027697110436321897
Education and Research,87.0,31003.0,0.002806180047092217,35.014915,1481.9426775355253,0.023627712144865077
Finance and Insurance,19.0,31003.0,0.0006128439183304841,17.000015,1481.9426775355253,0.011471438981884963
"Freight, Shipment, and Postal Services",18.0,31003.0,0.0005805889752604587,2.000046,1481.9426775355253,0.0013496109062234999
Government and Public Administration,45.0,26610.0,0.0016910935738444193,1.5e-05,87.32849554013333,1.717652400539351e-07
Health Care Services,13.0,31003.0,0.00041931425991033127,0.00061,1481.9426775355253,4.1162185909540825e-07
Manufacturing,5.0,4393.0,0.0011381743683132257,3.00003,1394.6141819953918,0.002151154088873243
"Media, Publishing, and Broadcasting",9612.0,31003.0,0.31003451278908495,1.1763839999999997,1481.9426775355253,0.0007938120804755616
"Museums, Libraries, and Entertainment",6.0,26610.0,0.00022547914317925591,0.0,87.32849554013333,0.0
None,357.0,31003.0,0.011515014675999097,101.07897500000001,1481.9426775355253,0.06820707476222672
Other,40.0,31003.0,0.0012901977228010192,1.0005969999999997,1481.9426775355253,0.0006751927825332591
"Retail Stores, Wholesale, and E-commerce Sites",1888.0,31003.0,0.06089733251620811,0.003968,1481.9426775355253,2.6775664539189835e-06
Service,178.0,31003.0,0.005741379866464536,1004.004821,1481.9426775355253,0.6774923458373321
Travel and Accommodation,1.0,4393.0,0.00022763487366264513,1.0,1394.6141819953918,0.0007170441925158224
