category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Computer and Information Technology,4455,5225,0.852562,1992.456011,3608.2350623607635,0.5521560000000001,"[204790, 22773, 40970, 396356, 197706, 44812, 32489, 209368, 210107, 49581, 60781, 35048, 213220, 35574, 16509, 35712, 212238, 949, 24940, 35761, 34534, 57773, 57795, 42034, 59848, 29075, 60021, 43350, 60135, 25424, 197204, 25003, 200000, 200187, 200428, 56485, 30813, 31543, 44205, 42929, 44851, 47540, 35829, 35579, 48288, 39591, 48352, 48635, 34907, 200899, 50782, 52031, 52209, 44050, 20988, 21140, 207481, 201984, 208016, 208091, 8769, 208124, 8511, 8422, 8309, 210144, 210232, 5400, 210612, 211175, 3549, 3352, 3339, 212144, 3177, 212786, 213222, 396319, 207995, 41327, 205227, 202053, 202421, 203361, 18779, 204591, 12400, 205068, 206854, 206028, 12552, 207083, 30633, 20473, 59504, 62240, 200373, 30873, 49542, 51837, 61317, 7018, 209097, 62217, 205544, 204490, 203498, 207990, 51659, 212477, 208626, 206873, 48108, 210499, 3175, 137409, 29182, 198571, 62068, 211083, 49392, 212521, 56534, 1239, 50902, 58061, 34939, 54113, 202503, 49981, 40676, 49544, 50113, 206499, 201080, 60703, 39824, 20618, 396113, 202235, 28753, 266732, 39384, 945, 1764, 15703, 43260, 15317, 29551, 30721, 21378, 150347, 150445, 196733, 196968, 41108, 25145, 24971, 135605, 198722, 37009, 199669, 64080, 200128, 25369, 396362, 200416, 43317, 30742, 7979, 206075, 47447, 209041, 209045, 209146, 34762, 50495, 48070, 6663, 210231, 211752, 55286, 206150, 36992, 12630, 12306, 207729, 53667, 8772, 6939, 35507, 45609, 3320, 60539, 36183, 174, 13335, 58057, 53356, 12731, 12676, 33480, 28573, 8100, 202528, 202990, 59795, 38732, 48582, 36791, 36492, 9009, 19551, 15133, 50867, 40509, 200866, 199974, 136620, 47583, 16724, 208046, 49548, 208223, 32931, 48231, 51847, 203314, 263110, 22439, 20253, 41378, 20446, 1921, 46562, 208972, 42831, 44016, 42675, 56758, 205726, 8666, 52048, 3356, 29290, 207021, 197433, 14153, 9902, 198412, 34775, 208685, 209626, 48254, 133612, 200746, 9121, 210895, 211664, 62874, 201178, 13213, 59711, 140810, 37963, 60567, 211759, 41155, 133480, 42673, 43357, 49367, 136258, 6369, 400797, 210937, 213268, 211547, 135671, 211400, 47720, 139693, 24239, 394923, 12859, 25923, 55081, 141039, 206368, 30811, 205876, 30081, 201949, 201958, 204915, 58336, 204094, 203819, 203557, 203500, 203339, 20546, 50994, 201029, 49673, 209561, 209181, 23764, 50926, 51430, 63213, 203, 8075, 200393, 52041, 51972, 61323, 7713, 4761, 4788, 58453, 16625, 4657, 6762]"
Service,179,5225,0.034250999999999976,1154.0677480000006,3608.2350623607635,0.319839,"[397165, 42275, 39913, 49655, 208906, 210646, 211918, 207289, 204394, 206616, 47596, 201364, 209242, 48638, 61178, 200081, 58036, 400519, 212149, 205398, 203843, 131662, 49121, 138190, 34798, 205989, 201633, 201924, 15967, 210015, 50922]"
None,334,5225,0.063913,168.55207499999997,3608.2350623607635,0.046709,"[204916, 400842, 56708, 198231, 210695, 42692, 210852, 271991, 199614, 131910, 200157, 210512, 147057, 210842, 202685, 924, 207252, 151814, 199186, 197730, 200021, 200907, 208078, 202911, 216157, 151407, 216398, 211480, 201217, 200690, 200959, 197606, 33760, 197919, 204318, 199052, 399358, 210644, 199656, 211381, 216111, 216435, 216452, 151464, 211051, 202888, 54197, 203283, 208779, 199684, 200800, 202662]"
"Media, Publishing, and Broadcasting",56,5225,0.010715,50.617843,3608.2350623607635,0.014027,"[208354, 14576, 206430, 211027, 208985, 210916, 51579, 33905, 63399, 61112, 199465, 398668, 20940, 34164, 206843, 213204, 23344]"
Construction and Real Estate,55,5225,0.010522,37.19139,3608.2350623607635,0.010304999999999998,"[56722, 42897, 52042, 35085, 203299, 204880, 211358, 399558, 199925, 59538, 151338, 48043, 208699, 52112, 39900, 204736, 50007, 33932]"
Finance and Insurance,22,5225,0.004209000000000001,36.000015,3608.2350623607635,0.009975999999999999,"[57574, 209968, 60389, 51126, 2027, 50395, 201836]"
"Retail Stores, Wholesale, and E-commerce Sites",14,5225,0.002678,32.004074,3608.2350623607635,0.008868999999999998,"[50582, 204623, 205987, 204755, 204720, 201572, 58339, 207487]"
Manufacturing,25,5225,0.00478,27.250365000000002,3608.2350623607635,0.007549999999999998,"[210167, 205432, 44477, 200635, 5420, 51259, 207242, 206566, 210462, 59584, 212085, 204920, 203635, 23145]"
Education and Research,42,5225,0.008036,26.019469000000004,3608.2350623607635,0.00721,"[209641, 61161, 4538, 209650, 56434, 46019, 270410, 210152, 60310, 141173, 209306, 206981, 210025, 133846, 60557, 140731, 139589]"
"Freight, Shipment, and Postal Services",9,5225,0.001722,18.003982,3608.2350623607635,0.0049889999999999995,"[204594, 56849, 205232, 205157]"
