category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Computer and Information Technology,15813,28219,0.560323,45.323772,89.33269337353809,0.507355,"[395839, 44812, 29182, 213220, 29014, 57043, 48261, 53667, 60781, 64080, 64267, 135981, 30721, 36492, 140810, 41405, 138652, 41378, 62874, 13213, 9009, 13335, 45609, 61317, 62217, 56630, 396356, 262287, 6939, 46841, 138997, 46562, 16509, 30633, 56655, 268972, 54113, 51430, 51115, 30860, 33387, 45027, 12876, 212238, 835, 40509, 6315, 200827, 55081, 5410, 577, 133480, 8100, 397373, 40676, 62282, 12167, 11990, 11878, 134094, 26527, 9498, 21859, 58453, 45090, 56040, 44901, 59437, 56041, 58810, 56046, 44974, 58466, 58777, 58542, 55990, 395747, 58541, 58057, 58487, 45727, 54455, 55836, 51468, 45899, 47447, 47583, 48635, 49542, 49544, 49981, 50113, 45474, 55818, 59504, 51873, 45430, 53356, 45758, 397423, 55303, 55410, 55430, 55644, 63835, 59605, 199244, 200487, 200222, 199752, 199274, 198068, 211786, 198066, 213192, 197695, 200738, 202505, 60294, 207375, 209622, 209453, 207996, 205766, 203961, 205544, 205125, 204490, 204055, 147049, 140903, 266768, 133798, 133159, 131445, 264642, 63949, 140716, 63410, 61323, 61098, 60893, 134238, 134756, 134771, 135967, 262459, 136188, 136959, 137443, 137697, 137702, 138421, 138915, 140061, 38266, 44066, 7922, 9002, 8943, 8888, 8781, 8697, 8560, 8422, 8342, 7713, 12849, 7545, 6805, 6762, 6724, 6718, 6697, 6233, 9121, 9299, 9312, 12306, 11019, 10474, 9930, 9929, 9924, 9829, 9824, 9808, 9806, 9534, 9500, 9381, 5606, 5432, 4837, 2860, 2527, 2519, 1955, 1930, 1680, 1653, 1547, 1299, 1257, 906, 852, 812, 701, 680, 513, 3214, 4835, 3292, 4812, 4811, 4808, 4802, 4788, 4739, 4657, 4651, 4637, 4230, 4134, 3741, 3462, 3320, 3303, 12360, 12859, 43766, 29066, 30798, 30781, 30764, 29789, 29413, 29222, 29097, 29075, 28890, 12874, 28573, 28075, 27947, 27823, 25923, 25532, 25454, 25148, 33438, 34665, 42846, 42487, 41357, 40630, 39122, 38365, 174, 38255, 38040, 36351, 35826, 35470, 34762, 24961, 24547, 17378, 16625, 16276, 15943, 15802, 15600, 15169, 15133, 15108, 14522, 14340, 14080, 13999, 13285, 13030, 17185, 17428, 24444, 17501, 24400, 24309, 24203, 23884, 23724, 22822, 22697, 21575, 21100, 20853, 20473, 19551, 18001, 17639, 398565]"
Education and Research,65,28219,0.002303,30.000008,89.33269337353809,0.335823,"[209641, 1659, 200351, 204679, 4538, 24357]"
None,78,28219,0.0027619999999999997,12.003964,89.33269337353809,0.134373,"[197992, 204916, 210644, 197619, 201217, 216435, 202888, 41717, 149151, 140824, 200241, 197730, 216271, 197598, 149042, 7679, 9354, 10013, 9605, 2497, 33760, 38631, 17511]"
Construction and Real Estate,8,28219,0.000283,2.0,89.33269337353809,0.022388,"[199925, 210079, 211309, 16345]"
"Media, Publishing, and Broadcasting",10074,28219,0.356994,0.004224,89.33269337353809,4.7e-05,"[396982, 60068, 149485, 20940, 11426, 2635, 33363, 43614, 25019, 21342]"
Other,29,28219,0.001028,0.000443,89.33269337353809,5e-06,[397031]
Community Groups and Nonprofits,14,28219,0.000496,0.000122,89.33269337353809,1e-06,"[205212, 208492, 35492]"
Health Care Services,11,28219,0.000389,0.000122,89.33269337353809,1e-06,"[46997, 38]"
Government and Public Administration,45,28219,0.001595,1.5e-05,89.33269337353809,0.0,"[19969, 397232, 397226, 397224, 62571, 134768, 15130]"
Service,45,28219,0.0015920000000000003,1.5e-05,89.33269337353809,0.0,"[205100, 131662, 210083, 1221, 40994, 15967]"
"Retail Stores, Wholesale, and E-commerce Sites",1974,28219,0.06995199999999999,1e-06,89.33269337353809,0.0,"[32934, 48581, 209114, 11917]"
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",42,28219,0.001488,0.0,89.33269337353809,0.0,[208058]
Finance and Insurance,1,28219,3.5e-05,0.0,89.33269337353809,0.0,[134762]
"Freight, Shipment, and Postal Services",13,28219,0.000461,0.0,89.33269337353809,0.0,[3389]
Manufacturing,1,28219,3.5e-05,0.0,89.33269337353809,0.0,[44477]
"Museums, Libraries, and Entertainment",6,28219,0.000212,0.0,89.33269337353809,0.0,"[131486, 137753]"
