aliased prefix,all prefix,sat aliased prefix,sat all prefix,co,loss,new,change sta alias,change sta all
4359.0,201974.0,1391.48391777277,229245.23075530934,0.0,0.0,0.0,0.0,0.0
4335.0,201689.0,1387.4797216057777,229207.39702824736,4334.0,30.0,3.0,-4.0041961669921875,-37.833727061981335
4336.0,201902.0,1387.4172521233559,229186.1292823949,4332.0,5.0,9.0,-0.062469482421875,-21.267745852470398
4868.0,202254.0,2687.5176854729652,229272.60692636156,4329.0,34.0,540.0,1300.1004333496094,86.4776439666748
4384.0,202569.0,1391.5470128655434,229315.14544616104,4336.0,532.0,71.0,-1295.9706726074219,42.53851979947649
4357.0,203482.0,1387.5455175042152,229328.2157254615,4345.0,39.0,12.0,-4.001495361328125,13.07027930044569
4384.0,204301.0,1398.5382085442543,229384.4145337739,4331.0,26.0,53.0,10.992691040039062,56.19880831241608
