org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
LLC Vpsville,1904128.0,32,139049566224.0,[59504],6.350541979067027e-05,0.0049167707890844315
Latitude.sh,111376036.0,281,377958428672.0,[396356],0.0005576569675368232,0.013364550584710793
Latitude.sh LTDA,128258343.0,489,139241.6953125,[262287],0.0009704421961761799,4.9235644434317484e-09
Latvijas Mobilais Telefons SIA,138225.0,7,67108867.0,"[24921, 12847]",1.3891810579209119e-05,2.372958980847228e-06
LeaseWeb Netherlands B.V.,36407819.0,599,3182839378865.0,[60781],0.001188742076706609,0.1125446997737559
Leaseweb Deutschland GmbH,86259.0,3,8590000128.0,[28753],5.9536331053753366e-06,0.00030374105331291675
"Leaseweb USA, Inc.",31454490.0,991,233316158617.0,"[30633, 396362]",0.0019666834691423195,0.008250022667898513
"Level 3 Parent, LLC",3549.0,1,1.3877787807814457e-17,[3549],1.984544368458446e-06,4.907163938983723e-31
Liden Data Internetwork AB,13189.0,1,65536.0,[13189],1.984544368458446e-06,2.317342651140332e-09
LightWave Networks,63028.0,4,16384.0,"[12167, 26527]",7.938177473833783e-06,5.79335662785083e-10
"Lightower Fiber Networks I, LLC",93774.0,2,131072.0,[46887],3.969088736916892e-06,4.634685302280664e-09
Lilith Network INC.,405056.0,2,33554432.0,[202528],3.969088736916892e-06,1.18647943738385e-06
"Limelight Networks, Inc.",446166.0,16,2.220446049250313e-16,"[55429, 38622, 22822]",3.175270989533513e-05,7.851462302373957e-30
Local Loop Oy,3071685.0,15,15.0,[204779],2.9768165526876684e-05,5.303976404892728e-13
LoudTronix Inc.,2667756.0,13,5767168.0,[205212],2.5799076789959792e-05,2.0392615330034922e-07
Louis Muscroft,203909.0,1,1048576.0,[203909],1.984544368458446e-06,3.707748241824531e-08
Louvetel Comunicação Comercial Ltda ME,1052440.0,4,36700160.0,[263110],7.938177473833783e-06,1.297711884638586e-06
Luc Pascard,69282.0,2,33554432.0,[34641],3.969088736916892e-06,1.18647943738385e-06
LueneCom Kommunikationsloesungen GmbH,201035.0,1,1.3877787807814457e-17,[201035],1.984544368458446e-06,4.907163938983723e-31
Luiz Fernando Ribeiro Amaral,209114.0,1,1.0,[209114],1.984544368458446e-06,3.535984269928485e-14
M-net Telekommunikations GmbH,43835.0,5,5.0,[8767],9.922721842292227e-06,1.7679921349642426e-13
M247 Europe SRL,10936926.0,1214,107396637175.51172,[9009],0.002409236863308553,0.003797528196958262
MARIA STYLE LTD,116678.0,2,131072.0,[58339],3.969088736916892e-06,4.634685302280664e-09
MAYBANK Data Center (Co-Location),3639875.0,29,478.0,"[131445, 45430]",5.755178668529492e-05,1.690200481025816e-11
MD TECHNOLOGY LIMITED,1799766.0,9,12582912.0,[199974],1.7860899316126012e-05,4.4492978901894376e-07
MENA LEVANT W.L.L,59605.0,1,256.0,[59605],1.984544368458446e-06,9.052119731016922e-12
MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,112541.0,13,13.0,[8657],2.5799076789959792e-05,4.596779550907031e-13
MIHAILA VALENTIN-EUGEN,41732.0,1,268435456.0,[41732],1.984544368458446e-06,9.4918354990708e-06
MOACK.Co.LTD,271210.0,2,8589934592.0,[135605],3.969088736916892e-06,0.0003037387359702656
MRGROUP INVESTMENTS LIMITED,122356.0,2,8589934592.0,[61178],3.969088736916892e-06,0.0003037387359702656
MULTIDIST SARL,182109.0,3,42949672960.0,[60703],5.9536331053753366e-06,0.001518693679851328
"Mach Dilemma, LLC",160552.0,4,262144.0,[40138],7.938177473833783e-06,9.269370604561328e-09
MadeIT inc.,54455.0,1,1.3877787807814457e-17,[54455],1.984544368458446e-06,4.907163938983723e-31
Mammoth Media Pty Ltd,133159.0,1,1.0,[133159],1.984544368458446e-06,3.535984269928485e-14
Manir LLC,301945.0,5,21474836480.0,[60389],9.922721842292227e-06,0.000759346839925664
Material Global Limited,253859.0,2,131072.0,"[50224, 203635]",3.969088736916892e-06,4.634685302280664e-09
Maxis Broadband Sdn Bhd,753186.0,79,514.0,[9534],0.0001567790051082172,1.8174959147432414e-11
Mediacom Communications Corp,30036.0,1,1.0,[30036],1.984544368458446e-06,3.535984269928485e-14
"Mega Cable, S.A. de C.V.",223984.0,16,1.0547118733938987e-15,[13999],3.175270989533513e-05,3.7294445936276295e-29
Megacore Technology Company Limited,35061690.0,249,1629487104.0,[140810],0.000494151547746153,5.7618407677953214e-05
Mehmet Ali Kilic,208022.0,1,4294967296.0,[208022],1.984544368458446e-06,0.0001518693679851328
Mehmet Uzunca,203377.0,1,65536.0,[203377],1.984544368458446e-06,2.317342651140332e-09
Mejiro Network Limited,209642.0,1,1048576.0,[209642],1.984544368458446e-06,3.707748241824531e-08
Melbikomas UAB,226520.0,4,196609.0,[56630],7.938177473833783e-06,6.952063313263695e-09
Meric Internet Teknolojileri A.S.,209737.0,1,34359738368.0,[209737],1.984544368458446e-06,0.0012149549438810624
Miku Network Technology Limited,110326439.0,521,18045682.12915039,[211759],0.0010339476159668501,6.380924814880535e-07
MilkyWan Association,2027.0,1,1.0,[2027],1.984544368458446e-06,3.535984269928485e-14
"Misaka Network, Inc.",700966.0,14,917504.0,[50069],2.7783621158418238e-05,3.2442797115964647e-08
Mobile Telecommunication Company Saudi Arabia Joint-Stock company,43766.0,1,256.0,[43766],1.984544368458446e-06,9.052119731016922e-12
Modesco LLC,112868.0,2,8589934592.0,[56434],3.969088736916892e-06,0.0003037387359702656
MonoCloud Pty Ltd,2690730.0,18,1179648.0,[149485],3.5721798632252025e-05,4.1712167720525976e-08
NASA Ames Research Center,43112.0,2,131072.0,[21556],3.969088736916892e-06,4.634685302280664e-09
NAU Country Insurance Company,794554.0,2,131072.0,[397277],3.969088736916892e-06,4.634685302280664e-09
NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY,204679.0,1,1.0,[204679],1.984544368458446e-06,3.535984269928485e-14
NAV COMMUNICATIONS SRL,13436.0,2,2.7755575615628914e-17,[6718],3.969088736916892e-06,9.814327877967447e-31
"NET42, svetovanje in razvoj internetnih resitev, d.o.o.",198644.0,1,1.3877787807814457e-17,[198644],1.984544368458446e-06,4.907163938983723e-31
NETBUDUR TELEKOMUNIKASYON LIMITED SIRKETI,3240080.0,16,34359738376.0,[202505],3.175270989533513e-05,0.0012149549441639411
NETLABS LLC,2378981.0,11,377957122048.0,[216271],2.18299880530429e-05,0.013364504382691687
NEW RELIC INTERNATIONAL LIMITED,206998.0,1,65536.0,[206998],1.984544368458446e-06,2.317342651140332e-09
NEXUSGUARD LIMITED,181896.0,4,5.551115123125783e-17,[45474],7.938177473833783e-06,1.9628655755934893e-30
NForce Entertainment B.V.,86700.0,2,103079215104.0,[43350],3.969088736916892e-06,0.0036448648316431873
"NINGBO, ZHEJIANG Province, P.R.China.",136188.0,1,1.3877787807814457e-17,[136188],1.984544368458446e-06,4.907163938983723e-31
"NOS COMUNICACOES, S.A.",343200.0,120,450.0,[2860],0.00023814532421501347,1.5911929214678183e-11
"NTT DOCOMO, INC.",931685.0,97,922.0,[9605],0.00019250080374046922,3.260177496874063e-11
NTX Technologies s.r.o.,300678.0,6,8858566656.0,[50113],1.1907266210750673e-05,0.0003132375234972898
NUR Telecom LLC,47237.0,1,68719476736.0,[47237],1.984544368458446e-06,0.0024299098877621247
National Applied Research Laboratories,82929.0,11,11.0,[7539],2.18299880530429e-05,3.8895826969213337e-13
National Chung Hsing University,4977.0,3,65538.0,[1659],5.9536331053753366e-06,2.3174133708257307e-09
National Infrastructures for Research and Technology S.A.,5408.0,1,1.0,[5408],1.984544368458446e-06,3.535984269928485e-14
National Knowledge Network,55824.0,1,65536.0,[55824],1.984544368458446e-06,2.317342651140332e-09
Nazwa.pl Sp.z.o.o.,47901.0,3,131072.00000000023,[15967],5.9536331053753366e-06,4.634685302280672e-09
Nearoute Limited,259235.0,5,4259840.0,[51847],9.922721842292227e-06,1.5062727232412157e-07
Nej.cz s.r.o.,99534.0,2,2.0,[49767],3.969088736916892e-06,7.07196853985697e-14
NeocomISP Limited,39608.0,4,262144.0,[9902],7.938177473833783e-06,9.269370604561328e-09
"NetActuate, Inc",36236.0,1,1.0,[36236],1.984544368458446e-06,3.535984269928485e-14
NetAssist LLC,52632.0,6,68723671040.0,[8772],1.1907266210750673e-05,0.0024300581976917975
NetBase BV,213192.0,1,65536.0,[213192],1.984544368458446e-06,2.317342651140332e-09
NetCologne Gesellschaft fur Telekommunikation mbH,547430.0,65,3.0000000000000036,[8422],0.00012899538394979898,1.0607952809785468e-13
NetNet,3663.0,1,1.0,[3663],1.984544368458446e-06,3.535984269928485e-14
Netassist Limited,157293.0,5,206158430209.0,"[29632, 39249, 29390]",9.922721842292227e-06,0.007289729663321734
Netex Limited,622044.0,12,51539607552.0,[51837],2.3814532421501346e-05,0.0018224324158215937
Netrunner Inc,12738.0,2,4295032832.0,[6369],3.969088736916892e-06,0.00015187168532778393
Netservers Limited,71652.0,2,2.0,[35826],3.969088736916892e-06,7.07196853985697e-14
Netversor GmbH,400162.0,2,8589934592.0,[200081],3.969088736916892e-06,0.0003037387359702656
Netwerkvereniging Coloclue,8283.0,1,65536.0,[8283],1.984544368458446e-06,2.317342651140332e-09
Network Management Ltd,820500.0,4,4.0,[205125],7.938177473833783e-06,1.414393707971394e-13
Network Technology Harald Firing Karlsen,48144.0,1,1.0,[48144],1.984544368458446e-06,3.535984269928485e-14
Neustar Security Services,9533224.0,24,3.3306690738754696e-16,"[397220, 397213]",4.762906484300269e-05,1.1777193453560937e-29
New Relic,23467.0,1,65536.0,[23467],1.984544368458446e-06,2.317342651140332e-09
Newserverlife LLC,99582.0,2,2.0,[49791],3.969088736916892e-06,7.07196853985697e-14
Nexavo Ltd.,14490.0,1,1048576.0,[14490],1.984544368458446e-06,3.707748241824531e-08
Nikola Garafolic,409386.0,2,3145728.0,[204693],3.969088736916892e-06,1.1123244725473594e-07
"No.31,Jin-rong Street",90948.0,22,9.5,[4134],4.36599761060858e-05,3.3591850564320606e-13
Noah van der Aa,1187514.0,6,655362.0,[197919],1.1907266210750673e-05,2.3173497231088718e-08
"Nocix, LLC",600966.0,18,1114113.0,[33387],3.5721798632252025e-05,3.9394860429228346e-08
Northern Data AG,59437.0,1,1.3877787807814457e-17,[59437],1.984544368458446e-06,4.907163938983723e-31
Nova Telecommunications & Media Single Member S.A,3723.0,3,4.163336342344337e-17,[1241],5.9536331053753366e-06,1.472149181695117e-30
Noyan Abr Arvan Co. ( Private Joint Stock),205585.0,1,65536.0,[205585],1.984544368458446e-06,2.317342651140332e-09
OBOS OPENNET AS,211309.0,1,1.0,[211309],1.984544368458446e-06,3.535984269928485e-14
OCEAN WAVES DATA LIMITED,200241.0,1,1.0,[200241],1.984544368458446e-06,3.535984269928485e-14
"OOO ""Network of data-centers ""Selectel""",1343315.0,27,219043332096.0,"[49505, 50340]",5.358269794837803e-05,0.007745337767241772
OOO VPS,801948.0,4,5.551115123125783e-17,[200487],7.938177473833783e-06,1.9628655755934893e-30
OPTAGE Inc.,17511.0,1,256.0,[17511],1.984544368458446e-06,9.052119731016922e-12
ORANGE BUSINESS SERVICES AS,25148.0,1,1.0,[25148],1.984544368458446e-06,3.535984269928485e-14
ORANGE MOLDOVA S.A.,25454.0,1,1.3877787807814457e-17,[25454],1.984544368458446e-06,4.907163938983723e-31
OVH SAS,227864.0,14,10.0,[16276],2.7783621158418238e-05,3.535984269928485e-13
Office des Postes et des Telecomm. de Nouvelle Caledonie,18200.0,1,1.0,[18200],1.984544368458446e-06,3.535984269928485e-14
Office of Info.Tech. Admin. for Educational Development,137500.0,2,2.0,"[4621, 132879]",3.969088736916892e-06,7.07196853985697e-14
Okay-Telecom Ltd.,599007.0,3,12884901888.0,[199669],5.9536331053753366e-06,0.0004556081039553984
Oman Telecommunications Company (S.A.O.G),86655.0,3,3.0,[28885],5.9536331053753366e-06,1.0607952809785456e-13
One New Zealand Group Limited,2992500.0,315,645.87890625,[9500],0.0006251314760644103,2.2838176527786147e-11
One.com A/S,1646976.0,32,32.0,[51468],6.350541979067027e-05,1.1315149663771152e-12
Ooredoo Q.S.C.,122934.0,14,224.0,[8781],2.7783621158418238e-05,7.920604764639806e-12
Optimizely AB,61622.0,2,131072.0,[30811],3.969088736916892e-06,4.634685302280664e-09
Orange S.A.,19290.0,6,6.0,[3215],1.1907266210750673e-05,2.1215905619570912e-13
Osirnet Info Telecom Ltda.,787377.0,3,6.661338147750939e-16,[262459],5.9536331053753366e-06,2.3554386907121873e-29
Overkill Consulting ApS,198186.0,1,65536.0,[198186],1.984544368458446e-06,2.317342651140332e-09
Overweb Srl,170768.0,4,17179869184.0,[42692],7.938177473833783e-06,0.0006074774719405312
Owl Limited,86714.0,2,4295032832.0,[43357],3.969088736916892e-06,0.00015187168532778393
Oxylabs,792638.0,2,137438953472.0,[396319],3.969088736916892e-06,0.0048598197755242495
P.A.G.M. OU,1188408.0,6,8.326672684688674e-17,[198068],1.1907266210750673e-05,2.944298363390234e-30
"PJSC ""Vimpelcom""",16345.0,1,1.0,[16345],1.984544368458446e-06,3.535984269928485e-14
PJSC Rostelecom,12389.0,1,4294967296.0,[12389],1.984544368458446e-06,0.0001518693679851328
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,43702256.0,208,216895848448.0,[210107],0.0004127852286393567,0.007669403083249206
PODA a.s.,92292.0,3,4.163336342344337e-17,[30764],5.9536331053753366e-06,1.472149181695117e-30
POLONETWORK LIMITED,1967394.0,13,66191360.0,[151338],2.5799076789959792e-05,2.340516077651735e-06
PSA AUTOMOBILES SA,16236.0,1,1.0,[16236],1.984544368458446e-06,3.535984269928485e-14
PT XL Axiata Tbk,2759142.0,114,1074.0,[24203],0.0002262380580042628,3.797647105903193e-11
PT. INDOSAT Tbk,19044.0,4,1099511628544.0,[4761],7.938177473833783e-06,0.038878558231350356
"PT. Smartfren Telecom, Tbk",133798.0,1,1.0,[133798],1.984544368458446e-06,3.535984269928485e-14
PT. Telekomunikasi Selular,236930.0,10,265.0,[23693],1.9845443684584455e-05,9.370358315310485e-12
PacketHub S.A.,708372.0,4,33554434.0,"[147049, 207137]",7.938177473833783e-06,1.1864795081035354e-06
PaoPaoYu Network LTD.,608733.0,3,34603008.0,[202911],5.9536331053753366e-06,1.2235569198020952e-06
Peaktera,65862.0,2,2097152.0,[32931],3.969088736916892e-06,7.415496483649062e-08
Perfect Cloud Technologies LLC,844108.0,4,13153337344.0,[211027],7.938177473833783e-06,0.0004650999394544692
"Perfect International, Inc",2602924.0,116,1174405121.0,[22439],0.0002302071467411797,4.152678034379459e-05
Perfect Sense AB,403266.0,2,131072.0,[201633],3.969088736916892e-06,4.634685302280664e-09
Performive LLC,2979968.0,64,1179649.0,[46562],0.00012701083958134053,4.1712203080368675e-08
Peter Jin Technologies LLC,398565.0,1,1.0,[398565],1.984544368458446e-06,3.535984269928485e-14
