as,alias_prefix_num,alias_prefix_64_num,org_name,alias_prefix_ratio,alias_prefix_64_ratio
209828,5,77309476864,Genc BT Bilisim Teknolojileri Limited Sirketi,0.0007751937984496124,0.0044333911243337205
209968,1,4294967296,Kew Solutions Unipessoal Lda,0.0001550387596899225,0.00024629929811692693
210000,1,65536,DAOport Internet Infrastructure Holdings Limited,0.0001550387596899225,3.7582290362079915e-09
210107,33,141733920768,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,0.0051162790697674414,0.008127876837858589
210644,3,68719476736,AEZA INTERNATIONAL LTD,0.00046511627906976747,0.003940788769870831
210842,222,3117416448,Rohmad Kumiadin,0.03441860465116279,0.00017877143879434172
210937,1,65536,Xiufeng Guo,0.0001550387596899225,3.7582290362079915e-09
211027,3,8858370048,Perfect Cloud Technologies LLC,0.00046511627906976747,0.0005079923023661618
211051,1,65536,Dazhong Technology Network Studio of Tieling County,0.0001550387596899225,3.7582290362079915e-09
211335,1,4294967296,BINBIR NET INTERNET BILISIM VE HABERLESME TEKNOLOJI SANAYI TICARET LIMITED SIRKETI,0.0001550387596899225,0.00024629929811692693
211444,14,60129542144,Fatima Cuenca,0.0021705426356589145,0.0034481901736369766
211759,11,17432576,Miku Network Technology Limited,0.0017054263565891472,9.996889236313257e-07
212027,129,68719476736,Daniel Jackson,0.02,0.003940788769870831
212165,22,652835028992,Alex Group LLC,0.0034108527131782944,0.03743749331377289
212238,17,34360786944,Datacamp Limited,0.002635658914728682,0.0019704545165999945
212271,3,12884901888,Cinzia Tocci trading as C1V,0.00046511627906976747,0.0007388978943507808
212477,1,34359738368,RoyaleHosting BV,0.0001550387596899225,0.0019703943849354155
213220,88,549755944960,Delta Ltd,0.013643410852713178,0.031526317675424714
215056,1,65536,,0.0001550387596899225,3.7582290362079915e-09
215108,1,268435456,,0.0001550387596899225,1.5393706132307933e-05
215158,13,446676598784,,0.0020155038759689923,0.0256151270041604
215280,1,16777216,,0.0001550387596899225,9.621066332692458e-07
215304,1,65536,,0.0001550387596899225,3.7582290362079915e-09
215330,2,33554432,,0.000310077519379845,1.9242132665384917e-06
215436,2,83886080,,0.000310077519379845,4.810533166346229e-06
215467,2,131072,,0.000310077519379845,7.516458072415983e-09
215531,3,4429185024,,0.00046511627906976747,0.0002539961511830809
215575,3,196608,,0.00046511627906976747,1.1274687108623975e-08
215730,1,65536,,0.0001550387596899225,3.7582290362079915e-09
215810,1,65536,,0.0001550387596899225,3.7582290362079915e-09
215889,1,4294967296,,0.0001550387596899225,0.00024629929811692693
215907,1,65536,,0.0001550387596899225,3.7582290362079915e-09
216107,1,1048576,,0.0001550387596899225,6.013166457932786e-08
216157,163,996432412672,,0.025271317829457365,0.05714143716312704
216183,3,196608,,0.00046511627906976747,1.1274687108623975e-08
216271,11,377957122048,NETLABS LLC,0.0017054263565891472,0.021674338234289568
216342,1,65536,JIANYU SHAO,0.0001550387596899225,3.7582290362079915e-09
216435,4,262144,Plim Mobile Telecom LLC,0.00062015503875969,1.5032916144831966e-08
216452,1,65536,Edvin Basil Samuval,0.0001550387596899225,3.7582290362079915e-09
263110,2,3145728,Louvetel Comunicação Comercial Ltda ME,0.000310077519379845,1.803949937379836e-07
266732,1,4294967296,FIBERTEL PERU S.A.,0.0001550387596899225,0.00024629929811692693
271991,1,4294967296,RODRIGUEZ PEDRO ALBERTO JUAN,0.0001550387596899225,0.00024629929811692693
394923,1,65536,Artfiles LLC,0.0001550387596899225,3.7582290362079915e-09
395839,3,103079215104,HOSTKEY,0.00046511627906976747,0.005911183154806246
396113,1,4294967296,BAI Communications Inc.,0.0001550387596899225,0.00024629929811692693
396319,1,68719476736,Oxylabs,0.0001550387596899225,0.003940788769870831
396356,5,240518168576,Latitude.sh,0.0007751937984496124,0.013792760694547906
396362,2,8589934592,"Leaseweb USA, Inc.",0.000310077519379845,0.0004925985962338539
397165,62,4260607557632,EpicUp Holdings Inc,0.009612403100775194,0.2443289037319915
397373,1,65536,H4Y Technologies LLC,0.0001550387596899225,3.7582290362079915e-09
397423,4,12884967424,Tier.Net Technologies LLC,0.00062015503875969,0.0007389016525798169
398668,1,1048576,Skydance Productions LLC,0.0001550387596899225,6.013166457932786e-08
398962,11,720896,CONTROLD INC.,0.0017054263565891472,4.13405193982879e-08
399358,1,65536,"Anthropic, PBC",0.0001550387596899225,3.7582290362079915e-09
399558,1,268435456,Differ Communications Limited,0.0001550387596899225,1.5393706132307933e-05
400519,65,89456640,Developed Methods LLC,0.010077519379844961,5.129982634423908e-06
400797,1,65536,Ping Identity Corporation,0.0001550387596899225,3.7582290362079915e-09
