as,alias_prefix_num,alias_prefix_64_num,org_name,alias_prefix_ratio,alias_prefix_64_ratio
206150,3,4294967298.0,IPXO LIMITED,6.026020355896762e-06,0.00034273631277586137
206843,2,131072.0,Jikai Ren,4.017346903931175e-06,1.045948219654121e-08
206981,1,1048576.0,Christopher Mountford,2.0086734519655874e-06,8.367585757232968e-08
207137,1,1.0,PacketHub S.A.,2.0086734519655874e-06,7.979951626999824e-14
207375,17,1.27675647831893e-15,Fiber Operator B.V.,3.414744868341498e-05,1.018845493644371e-28
207713,2,131072.0,GLOBAL INTERNET SOLUTIONS LLC,4.017346903931175e-06,1.045948219654121e-08
207990,4,17179869184.0,HostRoyale Technologies Pvt Ltd,8.03469380786235e-06,0.0013709452504650495
208058,130,130.0,InnoGames GmbH,0.00026112754875552637,1.0373937115099772e-11
208685,3,196608.0,Serverius Holding B.V.,6.026020355896762e-06,1.5689223294811813e-08
209114,1,1.0,Luiz Fernando Ribeiro Amaral,2.0086734519655874e-06,7.979951626999824e-14
209146,1,4294967296.0,hosTELyon SAS,2.0086734519655874e-06,0.00034273631261626236
209181,1,65536.0,Zenex 5ive Limited,2.0086734519655874e-06,5.229741098270605e-09
209242,15,17180590080.0,"Cloudflare London, LLC",3.0130101779483812e-05,0.0013710027776171305
209453,3,4.163336342344337e-17,GANDI SAS,6.026020355896762e-06,3.322322261883819e-30
209622,4,4.718447854656915e-16,uPress Inc,8.03469380786235e-06,3.7652985634683283e-29
209641,1,4294967296.0,I-SERVERS LTD,2.0086734519655874e-06,0.00034273631261626236
209828,273,91384451328.0,Genc BT Bilisim Teknolojileri Limited Sirketi,0.0005483678523866053,0.007292435010573598
209968,2,8589934592.0,Kew Solutions Unipessoal Lda,4.017346903931175e-06,0.0006854726252325247
210000,2,131072.0,DAOport Internet Infrastructure Holdings Limited,4.017346903931175e-06,1.045948219654121e-08
210079,6,6.0,EuroByte LLC,1.2052040711793524e-05,4.787970976199894e-13
210083,1,1.0,Privex Inc.,2.0086734519655874e-06,7.979951626999824e-14
210107,175,75161927680.0,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,0.0003515178540939778,0.0059978854707845915
210403,99,2.531308496145357e-14,Groupe LWS SARL,0.00019885867174459316,2.019971935225362e-27
210644,16,68719476736.0,AEZA INTERNATIONAL LTD,3.21387752314494e-05,0.005483781001860198
210842,98,5906628608.0,Rohmad Kumiadin,0.00019684999829262757,0.00047134610570493307
210937,1,65536.0,Xiufeng Guo,2.0086734519655874e-06,5.229741098270605e-09
211027,1,4294967296.0,Perfect Cloud Technologies LLC,2.0086734519655874e-06,0.00034273631261626236
211051,1,65536.0,Dazhong Technology Network Studio of Tieling County,2.0086734519655874e-06,5.229741098270605e-09
211298,31,31.0,Constantine Cybersecurity Ltd.,6.22688770109332e-05,2.4737850043699455e-12
211309,1,1.0,OBOS OPENNET AS,2.0086734519655874e-06,7.979951626999824e-14
211444,12,51539607552.0,Fatima Cuenca,2.4104081423587048e-05,0.004112835751395148
211759,510,613106.1291503906,Miku Network Technology Limited,0.0010244234605024495,4.892557252837224e-08
211786,1,1.3877787807814457e-17,KaasHosting B.V.,2.0086734519655874e-06,1.107440753961273e-30
212027,1,1.0,Daniel Jackson,2.0086734519655874e-06,7.979951626999824e-14
212144,21,17179869201.0,"trafficforce, UAB",4.218214249127733e-05,0.0013709452518216412
212165,18,68719476738.0,Alex Group LLC,3.6156122135380576e-05,0.005483781002019797
212238,78,85901312043.0,Datacamp Limited,0.00015667652925331583,0.006854883147989575
212786,11,12884901896.0,DIGITAL NETWORK S.R.L.,2.2095407971621463e-05,0.0010282089384871832
213081,2,2.7755575615628914e-17,ungleich glarus ag,4.017346903931175e-06,2.214881507922546e-30
213192,1,65536.0,NetBase BV,2.0086734519655874e-06,5.229741098270605e-09
213220,199,96636895234.0,Delta Ltd,0.0003997260169411519,0.007711577493507699
215280,1,16777216.0,,2.0086734519655874e-06,1.3388137211572749e-06
215467,1,65536.0,,2.0086734519655874e-06,5.229741098270605e-09
216089,1,1.0,,2.0086734519655874e-06,7.979951626999824e-14
216157,1,1.0,,2.0086734519655874e-06,7.979951626999824e-14
216349,40,40.0,"Getechbrothers, MB",8.03469380786235e-05,3.1919806507999296e-12
216435,35,423170.0,Plim Mobile Telecom LLC,7.030357081879556e-05,3.376876129997516e-08
216452,1,65536.0,Edvin Basil Samuval,2.0086734519655874e-06,5.229741098270605e-09
262287,489,139241.6953125,Latitude.sh LTDA,0.0009822413180111723,1.1111419930551981e-08
262459,3,6.661338147750939e-16,Osirnet Info Telecom Ltda.,6.026020355896762e-06,5.31571561901411e-29
263110,2,33554432.0,Louvetel Comunicação Comercial Ltda ME,4.017346903931175e-06,2.6776274423145497e-06
263348,1,1048576.0,DESEMPENHO PROVEDOR DE INTERNET,2.0086734519655874e-06,8.367585757232968e-08
264642,1,2.220446049250313e-16,TELESISTEMA S.R.L.,2.0086734519655874e-06,1.7719052063380368e-29
266732,1,4294967296.0,FIBERTEL PERU S.A.,2.0086734519655874e-06,0.00034273631261626236
266768,3,4.163336342344337e-17,ALKON SAS,6.026020355896762e-06,3.322322261883819e-30
268972,1,65536.0,ERBCOM TELECOMUNICACOES EIRELI - ME,2.0086734519655874e-06,5.229741098270605e-09
271991,1,4294967296.0,RODRIGUEZ PEDRO ALBERTO JUAN,2.0086734519655874e-06,0.00034273631261626236
394346,4,4.0,"KNIGHT POINT SYSTEMS, LLC",8.03469380786235e-06,3.19198065079993e-13
394923,1,4294967296.0,Artfiles LLC,2.0086734519655874e-06,0.00034273631261626236
395747,8,8.0,"Cloudflare, Inc.",1.60693876157247e-05,6.38396130159986e-13
395839,24,103079215104.0,HOSTKEY,4.8208162847174097e-05,0.008225671502790296
396113,1,4294967296.0,BAI Communications Inc.,2.0086734519655874e-06,0.00034273631261626236
396319,1,68719476736.0,Oxylabs,2.0086734519655874e-06,0.005483781001860198
396356,276,137440260096.0,Latitude.sh,0.0005543938727425021,0.010967666271683543
396362,1,4294967296.0,"Leaseweb USA, Inc.",2.0086734519655874e-06,0.00034273631261626236
396982,9,16909824.0,Google LLC,1.8078061067690288e-05,1.3493957754108067e-06
397031,55,2847250.0,"GALAXYGATE, LLC",0.00011047703985810731,2.272091726997525e-07
397165,62,4260607557632.0,EpicUp Holdings Inc,0.0001245377540218664,0.33999442211533226
397213,8,1.1102230246251565e-16,Neustar Security Services,1.60693876157247e-05,8.859526031690184e-30
397220,16,2.220446049250313e-16,Neustar Security Services,3.21387752314494e-05,1.7719052063380368e-29
397277,2,131072.0,NAU Country Insurance Company,4.017346903931175e-06,1.045948219654121e-08
397373,4,16384.0,H4Y Technologies LLC,8.03469380786235e-06,1.3074352745676512e-09
397423,1,1.0,Tier.Net Technologies LLC,2.0086734519655874e-06,7.979951626999824e-14
398565,1,1.0,Peter Jin Technologies LLC,2.0086734519655874e-06,7.979951626999824e-14
398668,1,1048576.0,Skydance Productions LLC,2.0086734519655874e-06,8.367585757232968e-08
398962,12,786432.0,CONTROLD INC.,2.4104081423587048e-05,6.275689317924725e-08
399358,1,65536.0,"Anthropic, PBC",2.0086734519655874e-06,5.229741098270605e-09
399558,1,268435456.0,Differ Communications Limited,2.0086734519655874e-06,2.1421019538516398e-05
400519,1,4294967296.0,Developed Methods LLC,2.0086734519655874e-06,0.00034273631261626236
400743,1,65536.0,Spaceship Landings LLC,2.0086734519655874e-06,5.229741098270605e-09
400797,1,65536.0,Ping Identity Corporation,2.0086734519655874e-06,5.229741098270605e-09
