org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
Oxylabs,396319.0,1,68719476736,[396319],0.00016084928422068523,0.004353837196991615
PJSC Rostelecom,12389.0,1,4294967296,[12389],0.00016084928422068523,0.00027211482481197594
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,6933531.0,33,141733920768,[210107],0.005308026379282612,0.008979789218795206
POLONETWORK LIMITED,1362042.0,9,31522816,[151338],0.001447643557986167,1.997180644753424e-06
PT. INDOSAT Tbk,14283.0,3,768,[4761],0.00048254785266205565,4.8657922413106424e-11
PacketHub S.A.,354186.0,2,33554432,"[147049, 207137]",0.00032169856844137045,2.125897068843562e-06
PaoPaoYu Network LTD.,202911.0,1,16777216,[202911],0.00016084928422068523,1.062948534421781e-06
Peaktera,32931.0,1,1048576,[32931],0.00016084928422068523,6.643428340136131e-08
Perfect Cloud Technologies LLC,633081.0,3,8858370048,[211027],0.00048254785266205565,0.0005612368261747004
Perfect Sense AB,201633.0,1,65536,[201633],0.00016084928422068523,4.152142712585082e-09
Performive LLC,372496.0,8,524288,[46562],0.0012867942737654818,3.3217141700680657e-08
Petersburg Internet Network ltd.,103995.0,3,103079215104,[34665],0.00048254785266205565,0.006530755795487422
Phan Nhat Nghi,2199175.0,11,68870471680,[199925],0.0017693421264275374,0.00436340373380141
Ping Identity Corporation,400797.0,1,65536,[400797],0.00016084928422068523,4.152142712585082e-09
Planisware Singapore Pte. Ltd,150347.0,1,4294967296,[150347],0.00016084928422068523,0.00027211482481197594
Plim Mobile Telecom LLC,865740.0,4,262144,[216435],0.0006433971368827409,1.6608570850340328e-08
Podillia-hotel PJSC,201626.0,1,65536,[201626],0.00016084928422068523,4.152142712585082e-09
Portland Internet Hosting LLC,36791.0,1,16777216,[36791],0.00016084928422068523,1.062948534421781e-06
Protocol Labs,40680.0,1,65536,[40680],0.00016084928422068523,4.152142712585082e-09
Psychz Networks,325408.0,8,21475033088,[40676],0.0012867942737654818,0.0013605865804880172
Qwilt Inc.,263289.0,13,851968,[20253],0.002091040694868908,5.397785526360606e-08
"RACKTECH CO., LTD.",50819168.0,248,892547891200,[204916],0.039890622486729935,0.056548862031238746
RADISHCLOUD TECHNOLOGY LLC,3420689.0,17,52232192,[201217],0.0027344378317516486,3.30925774193031e-06
RODRIGUEZ PEDRO ALBERTO JUAN,271991.0,1,4294967296,[271991],0.00016084928422068523,0.00027211482481197594
Rage4 Networks Limited,396824.0,2,131072,[198412],0.00032169856844137045,8.304285425170164e-09
Redge Technologies sp. z o.o.,402058.0,2,131072,[201029],0.00032169856844137045,8.304285425170164e-09
Rohmad Kumiadin,46806924.0,222,3117416448,[210842],0.03570854109699212,0.00019750912455224716
RoyaleHosting BV,212477.0,1,34359738368,[212477],0.00016084928422068523,0.0021769185984958075
Rozint Ltd Co,326070.0,15,13125025792,[21738],0.002412739263310278,0.0008315579253348395
SIA VEESP,43317.0,1,4294967296,[43317],0.00016084928422068523,0.00027211482481197594
SIXNET OPERATION LTD,16453173.0,83,382268866560,[198231],0.013350490590316873,0.02421928235680028
SORACOM. INC.,131910.0,1,4294967296,[131910],0.00016084928422068523,0.00027211482481197594
STARK INDUSTRIES SOLUTIONS LTD,444770.0,10,42949672960,[44477],0.0016084928422068522,0.002721148248119759
SYN LTD,64080.0,1,4294967296,[64080],0.00016084928422068523,0.00027211482481197594
Scalaxy B.V.,116122.0,2,8589934592,[58061],0.00032169856844137045,0.0005442296496239519
"Scaleblade, Ltd.",260205.0,5,17179934720,[52041],0.0008042464211034261,0.0010884634513906163
Securebit AG,58057.0,1,16777216,[58057],0.00016084928422068523,1.062948534421781e-06
ServTech LTD,834504.0,4,12884967424,[208626],0.0006433971368827409,0.0008163486265786404
Serverius Holding B.V.,626055.0,3,196608,[208685],0.00048254785266205565,1.2456428137755245e-08
"Shanghai Luogu Network Technology Co., Ltd.",151464.0,1,65536,[151464],0.00016084928422068523,4.152142712585082e-09
Sky Telecom LLC,205255.0,1,34359738368,[205255],0.00016084928422068523,0.0021769185984958075
Skydance Productions LLC,398668.0,1,1048576,[398668],0.00016084928422068523,6.643428340136131e-08
Social Blade LLC,46644.0,1,65536,[46644],0.00016084928422068523,4.152142712585082e-09
Sole trader Malkov Dmitrii Vladimirovich,529188.0,11,42949738496,[48108],0.0017693421264275374,0.0027211524002624717
"SolidNetwork Technologies, Inc.",14401.0,1,4294967296,[14401],0.00016084928422068523,0.00027211482481197594
Sprint,3717.0,3,12884901888,[1239],0.00048254785266205565,0.0008163444744359277
"StackPath, LLC.",245352.0,12,786432,[20446],0.0019301914106482226,4.982571255102098e-08
Starhub Ltd.,4657.0,1,256,[4657],0.00016084928422068523,1.6219307471035477e-11
Start Telecom LLC,205145.0,1,34359738368,[205145],0.00016084928422068523,0.0021769185984958075
SteveYi Experiment Network,141173.0,1,16777216,[141173],0.00016084928422068523,1.062948534421781e-06
TEFINCOM S.A.,141039.0,1,65536,[141039],0.00016084928422068523,4.152142712585082e-09
TELECOM ITALIA SPARKLE S.p.A.,13524.0,2,512,[6762],0.00032169856844137045,3.2438614942070954e-11
TM TECHNOLOGY SERVICES SDN BHD,4788.0,1,256,[4788],0.00016084928422068523,1.6219307471035477e-11
TOHU Public Internet,140731.0,1,65536,[140731],0.00016084928422068523,4.152142712585082e-09
Telekomunikasi Indonesia (PT),30852.0,4,1024,[7713],0.0006433971368827409,6.487722988414191e-11
Telnab Networks LLC,395238.0,2,34359738368,[197619],0.00032169856844137045,0.0021769185984958075
TerraHost AS,169965.0,3,196608,[56655],0.00048254785266205565,1.2456428137755245e-08
"The Constant Company, LLC",388987.0,19,120259411968,[20473],0.003056136400193019,0.007619235855448889
Tianhong Peng,400042.0,2,16842752,[200021],0.00032169856844137045,1.067100677134366e-06
Tier.Net Technologies LLC,1589692.0,4,12884967424,[397423],0.0006433971368827409,0.0008163486265786404
UK On-line Agri-sales Limited,202235.0,1,4294967296,[202235],0.00016084928422068523,0.00027211482481197594
UK-2 Limited,26426.0,2,131072,[13213],0.00032169856844137045,8.304285425170164e-09
"UnReal Servers, LLC",64236.0,1,34359738368,[64236],0.00016084928422068523,0.0021769185984958075
Universitas Brawijaya,46019.0,1,4294967296,[46019],0.00016084928422068523,0.00027211482481197594
VMHaus Limited,273240.0,2,2097152,[136620],0.00032169856844137045,1.3286856680272263e-07
Veganet Teknolojileri ve Hizmetleri LTD STI,4946856.0,24,103079215104,[206119],0.0038603828212964452,0.006530755795487422
Vinters IT Ltd,622170.0,10,17182359552,[62217],0.0016084928422068522,0.0010886170806709819
Virtueon Solutions LLC,395196.0,2,34359738368,[197598],0.00032169856844137045,0.0021769185984958075
Vodafone Australia Pty Ltd,400836.0,3,262144,[133612],0.00048254785266205565,1.6608570850340328e-08
WIFI TELEKOM BILISIM SANAYI VE TICARET ANONIM SIRKETI,205893.0,1,4294967296,[205893],0.00016084928422068523,0.00027211482481197594
Web Werks,33480.0,1,16777216,[33480],0.00016084928422068523,1.062948534421781e-06
Web2Objects LLC,188622.0,3,393216,[62874],0.00048254785266205565,2.491285627551049e-08
Wicked Networks Limited,141444.0,1,4294967296,[141444],0.00016084928422068523,0.00027211482481197594
WideOpenWest Finance LLC,83620.0,5,1507328,[16724],0.0008042464211034261,9.549928238945689e-08
WorldStream B.V.,49981.0,1,4294967296,[49981],0.00016084928422068523,0.00027211482481197594
Xiufeng Guo,210937.0,1,65536,[210937],0.00016084928422068523,4.152142712585082e-09
XuanMing Liu,1184598.0,6,589824,[197433],0.0009650957053241113,3.7369284413265734e-08
Zappie Host LLC,122276.0,2,33554432,[61138],0.00032169856844137045,2.125897068843562e-06
Zenex 5ive Limited,209181.0,1,65536,[209181],0.00016084928422068523,4.152142712585082e-09
hkgo LLC,5670.0,6,18087936,[945],0.0009650957053241113,1.1459913886734825e-06
hosTELyon SAS,209146.0,1,4294967296,[209146],0.00016084928422068523,0.00027211482481197594
ipcom GmbH,17289.0,9,589824,[1921],0.001447643557986167,3.7369284413265734e-08
"nextdns, Inc.",69878.0,2,4294967296,[34939],0.00032169856844137045,0.00027211482481197594
