aliased prefix,all prefix,sat aliased prefix,sat all prefix,co,loss,new,change sta alias,change sta all
49854.0,202293.0,1486.251580992379,229811.36461309064,4519.0,12.0,26.0,0.0,0.0
49880.0,202210.0,1484.2826325706121,229786.49203458708,4528.0,17.0,4.0,-3.0040283203125,-24.872578503564
49889.0,202068.0,1481.282559452244,229779.76410147827,4518.0,6.0,10.0,-2.996078491210937,-6.72793310880661
49963.0,202525.0,1483.3726332219233,229816.2589503259,4519.0,4.0,9.0,2.0627593994140625,36.49484884762205
49940.0,202640.0,1484.4978133965199,229830.698396656,4515.0,17.0,26.0,1.125152587890625,14.439446330070496
49930.0,203629.0,1486.3686929900582,229850.10029778187,4519.0,22.0,20.0,1.8712311387062075,19.401901125907894
49855.0,203730.0,1488.3653224035081,229858.41029700893,4518.0,17.0,28.0,-1.0037078857421875,8.309999227058142
